# internal.gains.scalar = exogenous scalar * degree.days / exogenous degree day norm
region,gcam.consumer,nodeInput,building.node.input,thermal.building.service.input,internal.gains.scalar
AR,resid_d9,resid,resid_building,resid cooling modern_d9,642
AR,resid_d10,resid,resid_building,resid cooling modern_d10,642
AR,resid_d1,resid,resid_building,resid heating coal_d1,-622
AR,resid_d2,resid,resid_building,resid heating coal_d2,-622
AR,resid_d3,resid,resid_building,resid heating coal_d3,-622
AR,resid_d4,resid,resid_building,resid heating coal_d4,-622
AR,resid_d5,resid,resid_building,resid heating coal_d5,-622
AR,resid_d6,resid,resid_building,resid heating coal_d6,-622
AR,resid_d7,resid,resid_building,resid heating coal_d7,-622
AR,resid_d8,resid,resid_building,resid heating coal_d8,-622
AR,resid_d9,resid,resid_building,resid heating coal_d9,-622
AR,resid_d10,resid,resid_building,resid heating coal_d10,-622
AR,resid_d1,resid,resid_building,resid heating modern_d1,-622
AR,resid_d2,resid,resid_building,resid heating modern_d2,-622
AR,resid_d3,resid,resid_building,resid heating modern_d3,-622
AR,resid_d4,resid,resid_building,resid heating modern_d4,-622
AR,resid_d5,resid,resid_building,resid heating modern_d5,-622
AR,resid_d6,resid,resid_building,resid heating modern_d6,-622
AR,resid_d7,resid,resid_building,resid heating modern_d7,-622
AR,resid_d8,resid,resid_building,resid heating modern_d8,-622
AR,resid_d9,resid,resid_building,resid heating modern_d9,-622
AR,resid_d10,resid,resid_building,resid heating modern_d10,-622
AR,resid_d1,resid,resid_building,resid heating TradBio_d1,-622
AR,resid_d2,resid,resid_building,resid heating TradBio_d2,-622
AR,resid_d3,resid,resid_building,resid heating TradBio_d3,-622
AR,resid_d4,resid,resid_building,resid heating TradBio_d4,-622
AR,resid_d5,resid,resid_building,resid heating TradBio_d5,-622
AR,resid_d6,resid,resid_building,resid heating TradBio_d6,-622
AR,resid_d7,resid,resid_building,resid heating TradBio_d7,-622
AR,resid_d8,resid,resid_building,resid heating TradBio_d8,-622
AR,resid_d9,resid,resid_building,resid heating TradBio_d9,-622
AR,resid_d10,resid,resid_building,resid heating TradBio_d10,-622
AZ,resid_d1,resid,resid_building,resid cooling modern_d1,835
AZ,resid_d2,resid,resid_building,resid cooling modern_d2,835
AZ,resid_d3,resid,resid_building,resid cooling modern_d3,835
AZ,resid_d4,resid,resid_building,resid cooling modern_d4,835
AZ,resid_d5,resid,resid_building,resid cooling modern_d5,835
AZ,resid_d6,resid,resid_building,resid cooling modern_d6,835
AZ,resid_d7,resid,resid_building,resid cooling modern_d7,835
AZ,resid_d8,resid,resid_building,resid cooling modern_d8,835
AZ,resid_d9,resid,resid_building,resid cooling modern_d9,835
AZ,resid_d10,resid,resid_building,resid cooling modern_d10,835
AZ,resid_d1,resid,resid_building,resid heating coal_d1,-428
AZ,resid_d2,resid,resid_building,resid heating coal_d2,-428
AZ,resid_d3,resid,resid_building,resid heating coal_d3,-428
AZ,resid_d4,resid,resid_building,resid heating coal_d4,-428
AZ,resid_d5,resid,resid_building,resid heating coal_d5,-428
AZ,resid_d6,resid,resid_building,resid heating coal_d6,-428
AZ,resid_d7,resid,resid_building,resid heating coal_d7,-428
AZ,resid_d8,resid,resid_building,resid heating coal_d8,-428
AZ,resid_d9,resid,resid_building,resid heating coal_d9,-428
AZ,resid_d10,resid,resid_building,resid heating coal_d10,-428
AZ,resid_d1,resid,resid_building,resid heating modern_d1,-428
AZ,resid_d2,resid,resid_building,resid heating modern_d2,-428
AZ,resid_d3,resid,resid_building,resid heating modern_d3,-428
AZ,resid_d4,resid,resid_building,resid heating modern_d4,-428
AZ,resid_d5,resid,resid_building,resid heating modern_d5,-428
AZ,resid_d6,resid,resid_building,resid heating modern_d6,-428
AZ,resid_d7,resid,resid_building,resid heating modern_d7,-428
AZ,resid_d8,resid,resid_building,resid heating modern_d8,-428
AZ,resid_d9,resid,resid_building,resid heating modern_d9,-428
AZ,resid_d10,resid,resid_building,resid heating modern_d10,-428
AZ,resid_d1,resid,resid_building,resid heating TradBio_d1,-428
AZ,resid_d2,resid,resid_building,resid heating TradBio_d2,-428
AZ,resid_d3,resid,resid_building,resid heating TradBio_d3,-428
AZ,resid_d4,resid,resid_building,resid heating TradBio_d4,-428
AZ,resid_d5,resid,resid_building,resid heating TradBio_d5,-428
AZ,resid_d6,resid,resid_building,resid heating TradBio_d6,-428
AZ,resid_d7,resid,resid_building,resid heating TradBio_d7,-428
AZ,resid_d8,resid,resid_building,resid heating TradBio_d8,-428
AZ,resid_d9,resid,resid_building,resid heating TradBio_d9,-428
AZ,resid_d10,resid,resid_building,resid heating TradBio_d10,-428
CA,resid_d1,resid,resid_building,resid cooling modern_d1,265
CA,resid_d2,resid,resid_building,resid cooling modern_d2,265
CA,resid_d3,resid,resid_building,resid cooling modern_d3,265
CA,resid_d4,resid,resid_building,resid cooling modern_d4,265
CA,resid_d5,resid,resid_building,resid cooling modern_d5,265
CA,resid_d6,resid,resid_building,resid cooling modern_d6,265
CA,resid_d7,resid,resid_building,resid cooling modern_d7,265
CA,resid_d8,resid,resid_building,resid cooling modern_d8,265
CA,resid_d9,resid,resid_building,resid cooling modern_d9,265
CA,resid_d10,resid,resid_building,resid cooling modern_d10,265
CA,resid_d1,resid,resid_building,resid heating coal_d1,-483
CA,resid_d2,resid,resid_building,resid heating coal_d2,-483
CA,resid_d3,resid,resid_building,resid heating coal_d3,-483
CA,resid_d4,resid,resid_building,resid heating coal_d4,-483
CA,resid_d5,resid,resid_building,resid heating coal_d5,-483
CA,resid_d6,resid,resid_building,resid heating coal_d6,-483
CA,resid_d7,resid,resid_building,resid heating coal_d7,-483
CA,resid_d8,resid,resid_building,resid heating coal_d8,-483
CA,resid_d9,resid,resid_building,resid heating coal_d9,-483
CA,resid_d10,resid,resid_building,resid heating coal_d10,-483
CA,resid_d1,resid,resid_building,resid heating modern_d1,-483
CA,resid_d2,resid,resid_building,resid heating modern_d2,-483
CA,resid_d3,resid,resid_building,resid heating modern_d3,-483
CA,resid_d4,resid,resid_building,resid heating modern_d4,-483
CA,resid_d5,resid,resid_building,resid heating modern_d5,-483
CA,resid_d6,resid,resid_building,resid heating modern_d6,-483
CA,resid_d7,resid,resid_building,resid heating modern_d7,-483
CA,resid_d8,resid,resid_building,resid heating modern_d8,-483
CA,resid_d9,resid,resid_building,resid heating modern_d9,-483
CA,resid_d10,resid,resid_building,resid heating modern_d10,-483
CA,resid_d1,resid,resid_building,resid heating TradBio_d1,-483
CA,resid_d2,resid,resid_building,resid heating TradBio_d2,-483
CA,resid_d3,resid,resid_building,resid heating TradBio_d3,-483
CA,resid_d4,resid,resid_building,resid heating TradBio_d4,-483
CA,resid_d5,resid,resid_building,resid heating TradBio_d5,-483
CA,resid_d6,resid,resid_building,resid heating TradBio_d6,-483
CA,resid_d7,resid,resid_building,resid heating TradBio_d7,-483
