"","state","state_name","year","sce","shares","category"
"93","FL","Florida",2011,"Historical",0.0598069,"d3"
"94","FL","Florida",2011,"Historical",0.06986444,"d4"
"95","FL","Florida",2011,"Historical",0.07998533,"d5"
"96","FL","Florida",2011,"Historical",0.09112275,"d6"
"97","FL","Florida",2011,"Historical",0.1044185,"d7"
"98","FL","Florida",2011,"Historical",0.1219165,"d8"
"99","FL","Florida",2011,"Historical",0.1492038,"d9"
"100","FL","Florida",2011,"Historical",0.2439482,"d10"
"101","GA","Georgia",2011,"Historical",0.03126444,"d1"
"102","GA","Georgia",2011,"Historical",0.04916848,"d2"
"103","GA","Georgia",2011,"Historical",0.06043107,"d3"
"104","GA","Georgia",2011,"Historical",0.07049102,"d4"
"105","GA","Georgia",2011,"Historical",0.08058602,"d5"
"106","GA","Georgia",2011,"Historical",0.0916659,"d6"
"107","GA","Georgia",2011,"Historical",0.1048491,"d7"
"108","GA","Georgia",2011,"Historical",0.1221326,"d8"
"109","GA","Georgia",2011,"Historical",0.1489349,"d9"
"110","GA","Georgia",2011,"Historical",0.2401144,"d10"
"111","HI","Hawaii",2011,"Historical",0.03233449,"d1"
"112","HI","Hawaii",2011,"Historical",0.05059365,"d2"
"113","HI","Hawaii",2011,"Historical",0.06195571,"d3"
"114","HI","Hawaii",2011,"Historical",0.07202157,"d4"
"115","HI","Hawaii",2011,"Historical",0.0820533,"d5"
"116","HI","Hawaii",2011,"Historical",0.09299264,"d6"
"117","HI","Hawaii",2011,"Historical",0.1059009,"d7"
"118","HI","Hawaii",2011,"Historical",0.1226604,"d8"
"119","HI","Hawaii",2011,"Historical",0.148278,"d9"
"120","HI","Hawaii",2011,"Historical",0.2307497,"d10"
"121","IA","Iowa",2011,"Historical",0.03391897,"d1"
"122","IA","Iowa",2011,"Historical",0.05270396,"d2"
"123","IA","Iowa",2011,"Historical",0.06421333,"d3"
"124","IA","Iowa",2011,"Historical",0.07428792,"d4"
"125","IA","Iowa",2011,"Historical",0.08422598,"d5"
"126","IA","Iowa",2011,"Historical",0.09495721,"d6"
"127","IA","Iowa",2011,"Historical",0.1074583,"d7"
"128","IA","Iowa",2011,"Historical",0.1234419,"d8"
"129","IA","Iowa",2011,"Historical",0.1473053,"d9"
"130","IA","Iowa",2011,"Historical",0.2168829,"d10"
"131","ID","Idaho",2011,"Historical",0.03501551,"d1"
"132","ID","Idaho",2011,"Historical",0.05416441,"d2"
"133","ID","Idaho",2011,"Historical",0.06577571,"d3"
"134","ID","Idaho",2011,"Historical",0.07585636,"d4"
"135","ID","Idaho",2011,"Historical",0.08572959,"d5"
"136","ID","Idaho",2011,"Historical",0.09631679,"d6"
"137","ID","Idaho",2011,"Historical",0.1085361,"d7"
"138","ID","Idaho",2011,"Historical",0.1239827,"d8"
"139","ID","Idaho",2011,"Historical",0.1466322,"d9"
"140","ID","Idaho",2011,"Historical",0.2072864,"d10"
"141","IL","Illinois",2011,"Historical",0.03031441,"d1"
"142","IL","Illinois",2011,"Historical",0.04790316,"d2"
"143","IL","Illinois",2011,"Historical",0.05907744,"d3"
"144","IL","Illinois",2011,"Historical",0.06913215,"d4"
"145","IL","Illinois",2011,"Historical",0.07928331,"d5"
"146","IL","Illinois",2011,"Historical",0.09048798,"d6"
"147","IL","Illinois",2011,"Historical",0.1039152,"d7"
"148","IL","Illinois",2011,"Historical",0.121664,"d8"
"149","IL","Illinois",2011,"Historical",0.1495181,"d9"
"150","IL","Illinois",2011,"Historical",0.2484287,"d10"
"151","IN","Indiana",2011,"Historical",0.03333671,"d1"
"152","IN","Indiana",2011,"Historical",0.05192847,"d2"
"153","IN","Indiana",2011,"Historical",0.0633837,"d3"
"154","IN","Indiana",2011,"Historical",0.07345509,"d4"
"155","IN","Indiana",2011,"Historical",0.08342757,"d5"
"156","IN","Indiana",2011,"Historical",0.09423527,"d6"
"157","IN","Indiana",2011,"Historical",0.106886,"d7"
"158","IN","Indiana",2011,"Historical",0.1231547,"d8"
"159","IN","Indiana",2011,"Historical",0.1476628,"d9"
"160","IN","Indiana",2011,"Historical",0.2219786,"d10"
"161","KS","Kansas",2011,"Historical",0.03326618,"d1"
"162","KS","Kansas",2011,"Historical",0.05183454,"d2"
"163","KS","Kansas",2011,"Historical",0.06328322,"d3"
"164","KS","Kansas",2011,"Historical",0.07335421,"d4"
"165","KS","Kansas",2011,"Historical",0.08333086,"d5"
"166","KS","Kansas",2011,"Historical",0.09414783,"d6"
"167","KS","Kansas",2011,"Historical",0.1068166,"d7"
"168","KS","Kansas",2011,"Historical",0.1231199,"d8"
"169","KS","Kansas",2011,"Historical",0.1477061,"d9"
"170","KS","Kansas",2011,"Historical",0.2225958,"d10"
"171","KY","Kentucky",2011,"Historical",0.03270189,"d1"
"172","KY","Kentucky",2011,"Historical",0.05108298,"d2"
"173","KY","Kentucky",2011,"Historical",0.0624792,"d3"
"174","KY","Kentucky",2011,"Historical",0.07254708,"d4"
"175","KY","Kentucky",2011,"Historical",0.08255709,"d5"
"176","KY","Kentucky",2011,"Historical",0.09344818,"d6"
"177","KY","Kentucky",2011,"Historical",0.106262,"d7"
"178","KY","Kentucky",2011,"Historical",0.1228416,"d8"
"179","KY","Kentucky",2011,"Historical",0.1480525,"d9"
