year,borough,type,value
2016,Fairbanks North Star Borough,petroleum property tax,10.3
2016,Municipality of Anchorage,petroleum property tax,3.6
2016,Kenai Peninsula Borough,petroleum property tax,14.2
2016,City of Valdez,petroleum property tax,38.4
2016,Matanuska-Susitna Borough,petroleum property tax,0.1
2016,NWAB,petroleum property tax,0
2016,Whittier,petroleum property tax,0
2016,City of Cordova,petroleum property tax,0.1
2017,North Slope Borough,petroleum property tax,376.7
2017,Fairbanks North Star Borough,petroleum property tax,10.8
2017,Municipality of Anchorage,petroleum property tax,2.4
2017,Kenai Peninsula Borough,petroleum property tax,14.3
2017,City of Valdez,petroleum property tax,38.4
2017,Matanuska-Susitna Borough,petroleum property tax,0.1
2017,Whittier,petroleum property tax,0
2017,City of Cordova,petroleum property tax,0.1
2018,North Slope Borough,petroleum property tax,372.1
2018,Fairbanks North Star Borough,petroleum property tax,11.8
2018,Municipality of Anchorage,petroleum property tax,2.4
2018,Kenai Peninsula Borough,petroleum property tax,15
2018,City of Valdez,petroleum property tax,38.4
2018,Matanuska-Susitna Borough,petroleum property tax,0.1
2018,Whittier,petroleum property tax,0
2018,City of Cordova,petroleum property tax,0.1
2019,North Slope Borough,petroleum property tax,377.4
2019,Fairbanks North Star Borough,petroleum property tax,12.2
2019,Municipality of Anchorage,petroleum property tax,2.3
2019,Kenai Peninsula Borough,petroleum property tax,15.5
2019,City of Valdez,petroleum property tax,39
2019,Matanuska-Susitna Borough,petroleum property tax,0.1
2019,Whittier,petroleum property tax,0
2019,City of Cordova,petroleum property tax,0.1
2020,North Slope Borough,petroleum property tax,387.9
2020,Fairbanks North Star Borough,petroleum property tax,12.3
2020,Municipality of Anchorage,petroleum property tax,2.6
2020,Kenai Peninsula Borough,petroleum property tax,14.8
2020,City of Valdez,petroleum property tax,39
2020,Matanuska-Susitna Borough,petroleum property tax,0.1
2020,Whittier,petroleum property tax,0
2020,City of Cordova,petroleum property tax,0.1
2021,North Slope Borough,petroleum property tax,375.4
2021,Fairbanks North Star Borough,petroleum property tax,12.1
2021,Municipality of Anchorage,petroleum property tax,2.4
2021,Kenai Peninsula Borough,petroleum property tax,14.3
2021,City of Valdez,petroleum property tax,39
2021,Matanuska-Susitna Borough,petroleum property tax,0.1
2021,Whittier,petroleum property tax,0
2021,City of Cordova,petroleum property tax,0.1
