Source: State of Alaska Geoportal - https://gis.data.alaska.gov/maps/e08c3faedf7842b382f415511402d9d1,,,,,,,,,,
X,Y,OBJECTID,CommunityName,EntityName,ReportingSeason,ReportingDate,ReportingPeriod,ReportingYear,HFRetailGal,AsOfDate
-158.5479126,58.83447266,41,Clark's Point,City of Clark's Point,Winter,2009/02/15 09:00:00+00,Feb,2009,6,2019/02/06 09:00:00+00
-133.151001,55.47607422,42,Craig,Petro Marine,Winter,2009/02/15 09:00:00+00,Feb,2009,2.75,2019/02/06 09:00:00+00
-162.7288208,66.07672119,43,Deering,Deering IRA,Winter,2009/02/15 09:00:00+00,Feb,2009,7.88,2019/02/06 09:00:00+00
-141.2075806,64.78887939,44,Eagle,Telegraph Hill Services,Winter,2009/02/15 09:00:00+00,Feb,2009,4.95,2019/02/06 09:00:00+00
-152.3973999,57.79309082,45,Kodiak,Petro Marine,Winter,2009/02/15 09:00:00+00,Feb,2009,3.1,2019/02/06 09:00:00+00
-132.9577026,56.81109619,46,Petersburg,Petro Marine,Winter,2009/02/15 09:00:00+00,Feb,2009,2.62,2019/02/06 09:00:00+00
-162.8831177,61.93731689,47,Pilot Station,Pilot Station Native Corporation,Winter,2009/02/15 09:00:00+00,Feb,2009,7.42,2019/02/06 09:00:00+00
-133.6212158,56.35150146,48,Point Baker,Point Baker Trading Post,Winter,2009/02/15 09:00:00+00,Feb,2009,8.8,2019/02/06 09:00:00+00
-166.7341919,68.3480835,49,Point Hope,Tigara Corporation,Winter,2009/02/15 09:00:00+00,Feb,2009,1.65,2019/02/06 09:00:00+00
-151.5319824,59.64727783,50,Homer,Home Run Oil,Summer,2015/07/15 09:00:00+00,July,2015,2.98,2019/02/06 09:00:00+00
-135.4456787,58.10968018,51,Hoonah,Hoonah Trading,Summer,2015/07/15 09:00:00+00,July,2015,3.74,2019/02/06 09:00:00+00
-156.3947144,65.7019043,52,Huslia,Huslia Gas and Oil,Summer,2015/07/15 09:00:00+00,July,2015,6.5,2019/02/06 09:00:00+00
-133.9448242,56.9744873,53,Kake,Kake Tribal Fuel,Summer,2015/07/15 09:00:00+00,July,2015,4.59,2019/02/06 09:00:00+00
-143.612793,70.12670898,54,Kaktovik,Kaktovik Inupiat Corporation,Summer,2015/07/15 09:00:00+00,July,2015,3,2019/02/06 09:00:00+00
-158.7249146,64.32647705,55,Kaltag,Kaltag Cooperative,Summer,2015/07/15 09:00:00+00,July,2015,5.75,2019/02/06 09:00:00+00
-162.3112793,55.05950928,56,King Cove,Peter Pan Seafood,Summer,2015/07/15 09:00:00+00,July,2015,3.32,2019/02/06 09:00:00+00
