source: https://gis.data.alaska.gov/datasets/a8cb2e38a0ed497e9dc2ead8c27ee6d9_2/,,,
Place,e_Per_Capita_Income,Start_Year,End_Year
Craig,27170,2009,2013
Crooked Creek,11520,2009,2013
Crown Point,23643,2009,2013
Deering,18576,2009,2013
Delta Junction,33476,2009,2013
Deltana,23876,2009,2013
Diamond Ridge,33469,2009,2013
Dillingham,31870,2009,2013
Diomede,10465,2009,2013
Dot Lake,,2009,2013
Dot Lake Village,11394,2009,2013
Dry Creek,16867,2009,2013
Eagle Village,14458,2009,2013
Eagle,15771,2009,2013
Edna Bay,,2009,2013
Eek,11070,2009,2013
Egegik,32207,2009,2013
Eielson AFB,22668,2009,2013
Ekwok,19304,2009,2013
Elfin Cove,26659,2009,2013
Elim,11663,2009,2013
Emmonak,14419,2009,2013
Ester,33527,2009,2013
Eureka Roadhouse,,2009,2013
Evansville,29505,2009,2013
Excursion Inlet,63562,2009,2013
Fairbanks,26872,2009,2013
False Pass,22760,2009,2013
Farm Loop,31098,2009,2013
Farmers Loop,38230,2009,2013
Ferry,,2009,2013
Fishhook,30241,2009,2013
Flat,,2009,2013
Fort Greely,38435,2009,2013
Fort Yukon,23801,2009,2013
Four Mile Road,33427,2009,2013
Fox,38680,2009,2013
Fox River,17336,2009,2013
Fritz Creek,31027,2009,2013
Funny River,29789,2009,2013
Gakona,37491,2009,2013
Galena,26551,2009,2013
Gambell,13436,2009,2013
Game Creek,,2009,2013
Gateway,37040,2009,2013
Glacier View,29324,2009,2013
Glennallen,21858,2009,2013
Goldstream,42539,2009,2013
Golovin,13720,2009,2013
Goodnews Bay,10140,2009,2013
Grayling,10662,2009,2013
Gulkana,23534,2009,2013
Gustavus,37727,2009,2013
Haines,31414,2009,2013
Halibut Cove,40757,2009,2013
Happy Valley,27370,2009,2013
Harding-Birch Lakes,26908,2009,2013
Healy,38493,2009,2013
Healy Lake,,2009,2013
Hobart Bay,,2009,2013
Hollis,20170,2009,2013
Holy Cross,17335,2009,2013
Homer,32046,2009,2013
Hoonah,24314,2009,2013
Hooper Bay,9033,2009,2013
Hope,47743,2009,2013
Houston,26442,2009,2013
Hughes,13075,2009,2013
Huslia,11219,2009,2013
Hydaburg,18515,2009,2013
Hyder,17225,2009,2013
Igiugig,23323,2009,2013
Iliamna,42007,2009,2013
Ivanof Bay,,2009,2013
Juneau,37558,2009,2013
Kachemak,33796,2009,2013
Kake,20314,2009,2013
Kaktovik,19605,2009,2013
Kalifornsky,30420,2009,2013
Kaltag,14190,2009,2013
Karluk,15435,2009,2013
Kasaan,23244,2009,2013
Kasigluk,9264,2009,2013
Kasilof,20652,2009,2013
Kenai,31710,2009,2013
Kenny Lake,28261,2009,2013
Ketchikan,28279,2009,2013
Kiana,14255,2009,2013
King Cove,25958,2009,2013
King Salmon,44125,2009,2013
Kipnuk,10332,2009,2013
Kivalina,14185,2009,2013
Klawock,24444,2009,2013
Klukwan,22752,2009,2013
Knik River,29794,2009,2013
Knik-Fairview,30497,2009,2013
Kobuk,11515,2009,2013
Kodiak Station,19346,2009,2013
Kodiak,27441,2009,2013
Kokhanok,13989,2009,2013
Koliganek,17097,2009,2013
Kongiganak,9231,2009,2013
Kotlik,11037,2009,2013
Kotzebue,26042,2009,2013
Koyuk,8987,2009,2013
Koyukuk,13550,2009,2013
Kupreanof,18261,2009,2013
Kwethluk,12628,2009,2013
Kwigillingok,11151,2009,2013
Lake Louise,22964,2009,2013
Lake Minchumina,15719,2009,2013
Lakes,35257,2009,2013
Larsen Bay,27791,2009,2013
Lazy Mountain,32210,2009,2013
Levelock,12324,2009,2013
Lime Village,30281,2009,2013
Livengood,24517,2009,2013
Loring,,2009,2013
Lowell Point,,2009,2013
Lower Kalskag,10620,2009,2013
Lutak,,2009,2013
Manley Hot Springs,23386,2009,2013
Manokotak,14286,2009,2013
Marshall,11503,2009,2013
McCarthy,35907,2009,2013
McGrath,25881,2009,2013
Denali Park,25281,2009,2013
Meadow Lakes,27699,2009,2013
Mekoryuk,19152,2009,2013
Mendeltna,,2009,2013
Mentasta Lake,12060,2009,2013
Mertarvik,,2009,2013
Metlakatla,22892,2009,2013
Minto,12645,2009,2013
Moose Creek,28738,2009,2013
Moose Pass,36927,2009,2013
Mosquito Lake,26281,2009,2013
Mountain Village,10898,2009,2013
Mud Bay,42720,2009,2013
Nabesna,,2009,2013
Naknek,33606,2009,2013
Nanwalek,8989,2009,2013
Napakiak,9745,2009,2013
Napaskiak,13674,2009,2013
Naukati Bay,47616,2009,2013
Nelchina,13674,2009,2013
Nelson Lagoon,22585,2009,2013
Nenana,30465,2009,2013
New Allakaket,11513,2009,2013
New Stuyahok,9923,2009,2013
Newhalen,14081,2009,2013
Newtok,9530,2009,2013
Nightmute,12726,2009,2013
Nikiski,32337,2009,2013
Nikolaevsk,14379,2009,2013
Nikolai,14723,2009,2013
Nikolski,17967,2009,2013
Ninilchik,26932,2009,2013
Noatak,15737,2009,2013
Nome,32374,2009,2013
Nondalton,12048,2009,2013
Noorvik,13789,2009,2013
North Pole,31705,2009,2013
Northway,20931,2009,2013
Northway Junction,17482,2009,2013
Northway Village,9374,2009,2013
Nuiqsut,25563,2009,2013
Nulato,13996,2009,2013
Nunam Iqua,13696,2009,2013
Nunapitchuk,11622,2009,2013
Old Harbor,25593,2009,2013
Oscarville,10657,2009,2013
Ouzinkie,20956,2009,2013
Palmer,25352,2009,2013
Paxson,33238,2009,2013
Pedro Bay,25262,2009,2013
Pelican,30482,2009,2013
Perryville,12433,2009,2013
Petersburg,36198,2009,2013
Petersville,,2009,2013
Pilot Point,17542,2009,2013
Pilot Station,11178,2009,2013
Pitkas Point,14078,2009,2013
Platinum,10894,2009,2013
Pleasant Valley,29612,2009,2013
Point Baker,14878,2009,2013
Point Hope,20923,2009,2013
Point Lay,19172,2009,2013
Point MacKenzie,13872,2009,2013
Point Possession,,2009,2013
Pope-Vannoy Landing,,2009,2013
Port Alexander,15114,2009,2013
Port Alsworth,21851,2009,2013
Port Clarence,28900,2009,2013
Port Graham,16425,2009,2013
Port Heiden,27970,2009,2013
Port Lions,25851,2009,2013
Port Protection,34839,2009,2013
Portage Creek,,2009,2013
Primrose,60370,2009,2013
Prudhoe Bay,94906,2009,2013
Quinhagak,11152,2009,2013
Rampart,27895,2009,2013
Red Devil,49916,2009,2013
Red Dog Mine,108150,2009,2013
Ridgeway,37431,2009,2013
Ruby,13253,2009,2013
Russian Mission,9914,2009,2013
Salamatof,23342,2009,2013
Salcha,33577,2009,2013
Sand Point,27165,2009,2013
Savoonga,7887,2009,2013
Saxman,21912,2009,2013
Scammon Bay,7879,2009,2013
Selawik,10052,2009,2013
Seldovia Village,38366,2009,2013
Seldovia,30033,2009,2013
Seward,28902,2009,2013
Shageluk,17370,2009,2013
Shaktoolik,15054,2009,2013
Shishmaref,10651,2009,2013
Shungnak,10238,2009,2013
Silver Springs,31131,2009,2013
Sitka,32521,2009,2013
Skagway,37527,2009,2013
Skwentna,17488,2009,2013
Slana,14883,2009,2013
Sleetmute,18113,2009,2013
Soldotna,31295,2009,2013
South Naknek,38625,2009,2013
South Van Horn,31143,2009,2013
Saint George,25418,2009,2013
Saint Mary's,18110,2009,2013
Saint Michael,12609,2009,2013
Saint Paul,20901,2009,2013
Stebbins,8342,2009,2013
Steele Creek,42580,2009,2013
Sterling,35917,2009,2013
Stevens Village,4917,2009,2013
Stony River,6017,2009,2013
Sunrise,,2009,2013
Susitna,,2009,2013
Susitna North,23890,2009,2013
Sutton-Alpine,17088,2009,2013
Takotna,20221,2009,2013
Talkeetna,27100,2009,2013
Tanacross,12666,2009,2013
Tanaina,26366,2009,2013
Tanana,20250,2009,2013
Tatitlek,18053,2009,2013
Tazlina,33195,2009,2013
Teller,10498,2009,2013
Tenakee Springs,33020,2009,2013
Tetlin,10088,2009,2013
Thorne Bay,26714,2009,2013
Togiak,11739,2009,2013
Tok,23858,2009,2013
Toksook Bay,15694,2009,2013
Tolsona,,2009,2013
Tonsina,32835,2009,2013
Trapper Creek,19815,2009,2013
Tuluksak,6600,2009,2013
Tuntutuliak,9681,2009,2013
Tununak,11034,2009,2013
Twin Hills,11809,2009,2013
Two Rivers,54307,2009,2013
Tyonek,18427,2009,2013
Ugashik,43427,2009,2013
Unalakleet,22215,2009,2013
Unalaska,32331,2009,2013
Upper Kalskag,9705,2009,2013
Valdez,35243,2009,2013
Venetie,11191,2009,2013
Wainwright,18413,2009,2013
Wales,12270,2009,2013
Wasilla,29008,2009,2013
Whale Pass,21187,2009,2013
White Mountain,17001,2009,2013
Whitestone,67359,2009,2013
Whitestone Logging Camp,10974,2009,2013
Whittier,29583,2009,2013
Willow,29978,2009,2013
Willow Creek,12794,2009,2013
Wiseman,,2009,2013
Womens Bay,34423,2009,2013
Wrangell,28474,2009,2013
Yakutat,32640,2009,2013
Alaska,33129,2010,2014
Aleutians East Borough,27122,2010,2014
Aleutians West Census Area,32700,2010,2014
Anchorage,36508,2010,2014
Bethel Census Area,18875,2010,2014
Bristol Bay Borough,37012,2010,2014
Denali Borough,36828,2010,2014
Dillingham Census Area,21774,2010,2014
Fairbanks North Star Borough,32906,2010,2014
Haines Borough,32312,2010,2014
Hoonah-Angoon Census Area,30811,2010,2014
Juneau,38057,2010,2014
Kenai Peninsula Borough,31611,2010,2014
Ketchikan Gateway Borough,31494,2010,2014
Kodiak Island Borough,29993,2010,2014
Lake and Peninsula Borough,21581,2010,2014
Matanuska-Susitna Borough,30013,2010,2014
Nome Census Area,19651,2010,2014
North Slope Borough,50267,2010,2014
Northwest Arctic Borough,21543,2010,2014
Petersburg Borough,36307,2010,2014
Prince of Wales-Hyder Census Area,24737,2010,2014
Sitka,33920,2010,2014
Skagway,40986,2010,2014
Southeast Fairbanks Census Area,30402,2010,2014
Valdez-Cordova Census Area,32610,2010,2014
Kusilvak Census Area,11257,2010,2014
Wrangell,30671,2010,2014
Yakutat,33475,2010,2014
Yukon-Koyukuk Census Area,20149,2010,2014
Adak,28112,2010,2014
Akhiok,12952,2010,2014
Akiachak,14076,2010,2014
Akiak,11690,2010,2014
Akutan,26513,2010,2014
Alakanuk,8754,2010,2014
Alatna,,2010,2014
Alcan Border,,2010,2014
Aleknagik,19935,2010,2014
Aleneva,,2010,2014
Allakaket,16690,2010,2014
Ambler,15141,2010,2014
Anaktuvuk Pass,19122,2010,2014
Anchor Point,28242,2010,2014
Anchorage,36508,2010,2014
Anderson,40657,2010,2014
Angoon,30009,2010,2014
Aniak,22533,2010,2014
Anvik,15787,2010,2014
Arctic Village,17373,2010,2014
Atka,25538,2010,2014
Atmautluak,15515,2010,2014
Atqasuk,19968,2010,2014
Attu Station,69882,2010,2014
Badger,30697,2010,2014
Utqiagvik,27696,2010,2014
Bear Creek,31131,2010,2014
Beaver,18519,2010,2014
Beluga,12800,2010,2014
Bethel,31160,2010,2014
Bettles,42036,2010,2014
Big Delta,23650,2010,2014
Big Lake,29687,2010,2014
Birch Creek,8655,2010,2014
Brevig Mission,7565,2010,2014
Buckland,12918,2010,2014
Buffalo Soapstone,28529,2010,2014
Butte,31171,2010,2014
Cantwell,30252,2010,2014
Central,25154,2010,2014
Chalkyitsik,15013,2010,2014
Chase,,2010,2014
Chefornak,10300,2010,2014
Chena Ridge,43208,2010,2014
Chenega,14365,2010,2014
Chevak,10900,2010,2014
Chickaloon,30017,2010,2014
Chicken,,2010,2014
Chignik Lagoon,38303,2010,2014
Chignik Lake,20514,2010,2014
Chignik,23484,2010,2014
Chiniak,,2010,2014
Chisana,,2010,2014
Chistochina,24429,2010,2014
Chitina,19960,2010,2014
Chuathbaluk,15727,2010,2014
Circle,13873,2010,2014
Clam Gulch,23579,2010,2014
Clark's Point,9380,2010,2014
Coffman Cove,27764,2010,2014
Cohoe,26557,2010,2014
Cold Bay,44116,2010,2014
Coldfoot,31591,2010,2014
College,33217,2010,2014
Cooper Landing,47547,2010,2014
Copper Center,22106,2010,2014
Cordova,39828,2010,2014
Covenant Life,21977,2010,2014
Craig,28038,2010,2014
Crooked Creek,11839,2010,2014
Crown Point,25040,2010,2014
Deering,14984,2010,2014
Delta Junction,32020,2010,2014
Deltana,27519,2010,2014
Diamond Ridge,31425,2010,2014
Dillingham,30727,2010,2014
Diomede,11415,2010,2014
Dot Lake,,2010,2014
Dot Lake Village,14492,2010,2014
Dry Creek,15697,2010,2014
Eagle Village,16400,2010,2014
Eagle,19872,2010,2014
Edna Bay,,2010,2014
Eek,10895,2010,2014
Egegik,33305,2010,2014
Eielson AFB,23578,2010,2014
Ekwok,12441,2010,2014
Elfin Cove,26536,2010,2014
Elim,11961,2010,2014
Emmonak,15883,2010,2014
Ester,34971,2010,2014
Eureka Roadhouse,,2010,2014
Evansville,28914,2010,2014
Excursion Inlet,69081,2010,2014
Fairbanks,27620,2010,2014
False Pass,33445,2010,2014
Farm Loop,35686,2010,2014
Farmers Loop,42177,2010,2014
Ferry,,2010,2014
Fishhook,29929,2010,2014
Flat,,2010,2014
Fort Greely,37085,2010,2014
Fort Yukon,23989,2010,2014
Four Mile Road,31590,2010,2014
Fox,54494,2010,2014
Fox River,15481,2010,2014
Fritz Creek,34231,2010,2014
Funny River,29329,2010,2014
Gakona,27996,2010,2014
Galena,26854,2010,2014
Gambell,12653,2010,2014
Game Creek,,2010,2014
Gateway,36354,2010,2014
Glacier View,25081,2010,2014
Glennallen,20649,2010,2014
Goldstream,42991,2010,2014
Golovin,14216,2010,2014
Goodnews Bay,11256,2010,2014
Grayling,11165,2010,2014
Gulkana,24768,2010,2014
Gustavus,40461,2010,2014
Haines,33106,2010,2014
Halibut Cove,42324,2010,2014
Happy Valley,31321,2010,2014
Harding-Birch Lakes,27608,2010,2014
Healy,39108,2010,2014
Healy Lake,,2010,2014
Hobart Bay,,2010,2014
Hollis,19986,2010,2014
Holy Cross,16128,2010,2014
Homer,31237,2010,2014
Hoonah,26050,2010,2014
Hooper Bay,8956,2010,2014
Hope,59742,2010,2014
Houston,24487,2010,2014
Hughes,14400,2010,2014
Huslia,12254,2010,2014
Hydaburg,17834,2010,2014
Hyder,,2010,2014
Igiugig,24614,2010,2014
Iliamna,46901,2010,2014
Ivanof Bay,,2010,2014
Juneau,38057,2010,2014
Kachemak,33348,2010,2014
Kake,20236,2010,2014
Kaktovik,20782,2010,2014
Kalifornsky,31005,2010,2014
Kaltag,13480,2010,2014
Karluk,7180,2010,2014
Kasaan,21393,2010,2014
Kasigluk,8722,2010,2014
Kasilof,20137,2010,2014
Kenai,32471,2010,2014
Kenny Lake,10666,2010,2014
Ketchikan,27842,2010,2014
Kiana,14641,2010,2014
King Cove,26900,2010,2014
King Salmon,39847,2010,2014
Kipnuk,10030,2010,2014
Kivalina,13794,2010,2014
Klawock,21693,2010,2014
Klukwan,27812,2010,2014
Knik River,35679,2010,2014
Knik-Fairview,31651,2010,2014
Kobuk,12051,2010,2014
Kodiak Station,21568,2010,2014
Kodiak,28592,2010,2014
Kokhanok,15019,2010,2014
Koliganek,16615,2010,2014
Kongiganak,9036,2010,2014
Kotlik,10344,2010,2014
Kotzebue,28419,2010,2014
Koyuk,9003,2010,2014
Koyukuk,15047,2010,2014
Kupreanof,21817,2010,2014
Kwethluk,11592,2010,2014
Kwigillingok,11165,2010,2014
Lake Louise,21317,2010,2014
Lake Minchumina,26263,2010,2014
Lakes,34728,2010,2014
Larsen Bay,32912,2010,2014
Lazy Mountain,32690,2010,2014
Levelock,11342,2010,2014
Lime Village,29559,2010,2014
Livengood,,2010,2014
Loring,,2010,2014
Lowell Point,,2010,2014
Lower Kalskag,11154,2010,2014
Lutak,,2010,2014
Manley Hot Springs,31960,2010,2014
Manokotak,16385,2010,2014
Marshall,12126,2010,2014
McCarthy,34637,2010,2014
McGrath,26377,2010,2014
Denali Park,32653,2010,2014
Meadow Lakes,27428,2010,2014
Mekoryuk,16711,2010,2014
Mendeltna,,2010,2014
Mentasta Lake,12878,2010,2014
Mertarvik,,2010,2014
Metlakatla,22595,2010,2014
Minto,13544,2010,2014
Moose Creek,27065,2010,2014
Moose Pass,42509,2010,2014
Mosquito Lake,21518,2010,2014
Mountain Village,10068,2010,2014
Mud Bay,41866,2010,2014
Nabesna,,2010,2014
Naknek,35000,2010,2014
Nanwalek,9808,2010,2014
Napakiak,9247,2010,2014
Napaskiak,13050,2010,2014
Naukati Bay,25226,2010,2014
Nelchina,8549,2010,2014
Nelson Lagoon,33597,2010,2014
Nenana,27174,2010,2014
New Allakaket,11007,2010,2014
New Stuyahok,9313,2010,2014
Newhalen,15390,2010,2014
Newtok,9257,2010,2014
Nightmute,13104,2010,2014
Nikiski,31797,2010,2014
Nikolaevsk,14265,2010,2014
Nikolai,17763,2010,2014
Nikolski,18885,2010,2014
Ninilchik,28495,2010,2014
Noatak,13885,2010,2014
Nome,30087,2010,2014
Nondalton,12688,2010,2014
Noorvik,15131,2010,2014
North Pole,31778,2010,2014
Northway,19623,2010,2014
Northway Junction,16663,2010,2014
Northway Village,8211,2010,2014
Nuiqsut,26861,2010,2014
Nulato,16446,2010,2014
Nunam Iqua,15706,2010,2014
Nunapitchuk,11417,2010,2014
Old Harbor,24219,2010,2014
Oscarville,24569,2010,2014
Ouzinkie,26748,2010,2014
Palmer,26340,2010,2014
Paxson,31800,2010,2014
Pedro Bay,27750,2010,2014
Pelican,29653,2010,2014
Perryville,11078,2010,2014
Petersburg,36950,2010,2014
Petersville,,2010,2014
Pilot Point,19666,2010,2014
Pilot Station,10533,2010,2014
Pitkas Point,12630,2010,2014
Platinum,8479,2010,2014
Pleasant Valley,28164,2010,2014
Point Baker,14140,2010,2014
Point Hope,19497,2010,2014
Point Lay,18819,2010,2014
Point MacKenzie,19607,2010,2014
Point Possession,,2010,2014
Pope-Vannoy Landing,,2010,2014
Port Alexander,21173,2010,2014
Port Alsworth,22773,2010,2014
Port Clarence,29663,2010,2014
Port Graham,16838,2010,2014
Port Heiden,37567,2010,2014
Port Lions,23271,2010,2014
Port Protection,25618,2010,2014
Portage Creek,,2010,2014
Primrose,61241,2010,2014
Prudhoe Bay,101242,2010,2014
Quinhagak,11492,2010,2014
Rampart,38907,2010,2014
Red Devil,35753,2010,2014
Red Dog Mine,110191,2010,2014
Ridgeway,36152,2010,2014
Ruby,12435,2010,2014
Russian Mission,10438,2010,2014
Salamatof,22695,2010,2014
Salcha,31604,2010,2014
Sand Point,26266,2010,2014
Savoonga,7507,2010,2014
Saxman,22467,2010,2014
Scammon Bay,8383,2010,2014
Selawik,10632,2010,2014
Seldovia Village,35729,2010,2014
Seldovia,32704,2010,2014
Seward,30076,2010,2014
Shageluk,15057,2010,2014
Shaktoolik,13648,2010,2014
Shishmaref,9724,2010,2014
Shungnak,12236,2010,2014
Silver Springs,32962,2010,2014
Sitka,33920,2010,2014
Skagway,41781,2010,2014
Skwentna,16804,2010,2014
Slana,11509,2010,2014
Sleetmute,14933,2010,2014
Soldotna,32892,2010,2014
South Naknek,41308,2010,2014
South Van Horn,32265,2010,2014
Saint George,21788,2010,2014
Saint Mary's,17974,2010,2014
Saint Michael,12255,2010,2014
Saint Paul,23303,2010,2014
Stebbins,9849,2010,2014
Steele Creek,44587,2010,2014
Sterling,34335,2010,2014
Stevens Village,5087,2010,2014
Stony River,6707,2010,2014
Sunrise,,2010,2014
Susitna,,2010,2014
Susitna North,25267,2010,2014
Sutton-Alpine,18487,2010,2014
Takotna,21555,2010,2014
Talkeetna,32090,2010,2014
Tanacross,11913,2010,2014
Tanaina,26830,2010,2014
Tanana,20535,2010,2014
Tatitlek,25738,2010,2014
Tazlina,32119,2010,2014
Teller,10752,2010,2014
Tenakee Springs,40333,2010,2014
Tetlin,11058,2010,2014
Thorne Bay,31953,2010,2014
Togiak,12907,2010,2014
Tok,25197,2010,2014
Toksook Bay,13619,2010,2014
Tolsona,,2010,2014
Tonsina,,2010,2014
Trapper Creek,19467,2010,2014
Tuluksak,6479,2010,2014
Tuntutuliak,10652,2010,2014
Tununak,10133,2010,2014
Twin Hills,10991,2010,2014
Two Rivers,54891,2010,2014
Tyonek,22086,2010,2014
Ugashik,45279,2010,2014
Unalakleet,27619,2010,2014
Unalaska,32705,2010,2014
Upper Kalskag,11283,2010,2014
Valdez,35032,2010,2014
Venetie,12629,2010,2014
Wainwright,20551,2010,2014
Wales,12524,2010,2014
Wasilla,28704,2010,2014
Whale Pass,20262,2010,2014
White Mountain,17389,2010,2014
Whitestone,61204,2010,2014
Whitestone Logging Camp,10754,2010,2014
Whittier,29106,2010,2014
Willow,29509,2010,2014
Willow Creek,,2010,2014
Wiseman,,2010,2014
Womens Bay,29968,2010,2014
Wrangell,30671,2010,2014
Yakutat,32646,2010,2014
Alaska,33413,2011,2015
Aleutians East Borough,28608,2011,2015
Aleutians West Census Area,31754,2011,2015
Anchorage,36920,2011,2015
Bethel Census Area,17746,2011,2015
Bristol Bay Borough,38267,2011,2015
Denali Borough,35315,2011,2015
Dillingham Census Area,22257,2011,2015
Fairbanks North Star Borough,33244,2011,2015
Haines Borough,33902,2011,2015
Hoonah-Angoon Census Area,30943,2011,2015
Juneau,39979,2011,2015
Kenai Peninsula Borough,31537,2011,2015
Ketchikan Gateway Borough,32021,2011,2015
Kodiak Island Borough,30657,2011,2015
Kusilvak Census Area,11569,2011,2015
Lake and Peninsula Borough,23041,2011,2015
Matanuska-Susitna Borough,29913,2011,2015
Nome Census Area,19804,2011,2015
North Slope Borough,51085,2011,2015
Northwest Arctic Borough,21101,2011,2015
Petersburg Borough,34884,2011,2015
Prince of Wales-Hyder Census Area,25205,2011,2015
Sitka,33890,2011,2015
Skagway,38696,2011,2015
Southeast Fairbanks Census Area,30079,2011,2015
Valdez-Cordova Census Area,33293,2011,2015
Wrangell,30089,2011,2015
Yakutat,33159,2011,2015
Yukon-Koyukuk Census Area,20698,2011,2015
Adak,22983,2011,2015
Akhiok,10237,2011,2015
Akiachak,11505,2011,2015
Akiak,11188,2011,2015
Akutan,26313,2011,2015
Alakanuk,8293,2011,2015
Alatna,,2011,2015
Alcan Border,16576,2011,2015
Aleknagik,20403,2011,2015
Aleneva,,2011,2015
Allakaket,17209,2011,2015
Ambler,17226,2011,2015
Anaktuvuk Pass,18997,2011,2015
Anchor Point,28842,2011,2015
Anchorage,36920,2011,2015
Anderson,43367,2011,2015
Angoon,28623,2011,2015
Aniak,23333,2011,2015
Anvik,19240,2011,2015
Arctic Village,19589,2011,2015
Atka,27042,2011,2015
Atmautluak,14441,2011,2015
Atqasuk,20998,2011,2015
Attu Station,36256,2011,2015
Badger,30431,2011,2015
Utqiagvik,27360,2011,2015
Bear Creek,34259,2011,2015
Beaver,16247,2011,2015
Beluga,16083,2011,2015
Bethel,28758,2011,2015
Bettles,38982,2011,2015
Big Delta,26178,2011,2015
Big Lake,30942,2011,2015
Birch Creek,,2011,2015
Brevig Mission,7510,2011,2015
Buckland,14209,2011,2015
Buffalo Soapstone,27814,2011,2015
Butte,30762,2011,2015
Cantwell,32980,2011,2015
Central,32034,2011,2015
Chalkyitsik,13813,2011,2015
Chase,,2011,2015
Chefornak,11004,2011,2015
Chena Ridge,46243,2011,2015
Chenega,13352,2011,2015
Chevak,11738,2011,2015
Chickaloon,30397,2011,2015
Chicken,,2011,2015
Chignik Lagoon,45390,2011,2015
Chignik Lake,21083,2011,2015
Chignik,31866,2011,2015
Chiniak,,2011,2015
Chisana,,2011,2015
Chistochina,21005,2011,2015
Chitina,16354,2011,2015
Chuathbaluk,12547,2011,2015
Circle,16347,2011,2015
Clam Gulch,25396,2011,2015
Clark's Point,9664,2011,2015
Coffman Cove,27240,2011,2015
Cohoe,28564,2011,2015
Cold Bay,49020,2011,2015
Coldfoot,,2011,2015
College,33835,2011,2015
Cooper Landing,36337,2011,2015
Copper Center,19978,2011,2015
Cordova,45476,2011,2015
Covenant Life,15872,2011,2015
Craig,30097,2011,2015
Crooked Creek,14055,2011,2015
Crown Point,22425,2011,2015
Deering,16429,2011,2015
Delta Junction,30173,2011,2015
Deltana,27771,2011,2015
Diamond Ridge,34152,2011,2015
Dillingham,30167,2011,2015
Diomede,11709,2011,2015
Dot Lake,,2011,2015
Dot Lake Village,14787,2011,2015
Dry Creek,15682,2011,2015
Eagle Village,23476,2011,2015
Eagle,19202,2011,2015
Edna Bay,,2011,2015
Eek,10582,2011,2015
Egegik,33619,2011,2015
Eielson AFB,22576,2011,2015
Ekwok,14386,2011,2015
Elfin Cove,37688,2011,2015
Elim,13460,2011,2015
Emmonak,15370,2011,2015
Ester,35525,2011,2015
Eureka Roadhouse,,2011,2015
Evansville,22131,2011,2015
Excursion Inlet,66698,2011,2015
Fairbanks,27386,2011,2015
False Pass,38905,2011,2015
Farm Loop,31294,2011,2015
Farmers Loop,47278,2011,2015
Ferry,,2011,2015
Fishhook,32339,2011,2015
Flat,,2011,2015
Fort Greely,30684,2011,2015
Fort Yukon,23476,2011,2015
Four Mile Road,72360,2011,2015
Fox,46737,2011,2015
Fox River,18404,2011,2015
Fritz Creek,33601,2011,2015
Funny River,32597,2011,2015
Gakona,24129,2011,2015
Galena,29140,2011,2015
Gambell,13362,2011,2015
Game Creek,,2011,2015
Gateway,36036,2011,2015
Glacier View,24094,2011,2015
Glennallen,16991,2011,2015
Goldstream,45263,2011,2015
Golovin,15262,2011,2015
Goodnews Bay,12740,2011,2015
Grayling,10899,2011,2015
Gulkana,23996,2011,2015
Gustavus,39357,2011,2015
Haines,34744,2011,2015
Halibut Cove,44226,2011,2015
Happy Valley,25712,2011,2015
Harding-Birch Lakes,28340,2011,2015
Healy,36004,2011,2015
Healy Lake,,2011,2015
Hobart Bay,,2011,2015
Hollis,20742,2011,2015
Holy Cross,17177,2011,2015
Homer,30664,2011,2015
Hoonah,26472,2011,2015
Hooper Bay,8223,2011,2015
Hope,39512,2011,2015
Houston,24592,2011,2015
Hughes,14835,2011,2015
Huslia,12620,2011,2015
Hydaburg,19721,2011,2015
Hyder,,2011,2015
Igiugig,22278,2011,2015
Iliamna,41226,2011,2015
Ivanof Bay,,2011,2015
Juneau,39979,2011,2015
Kachemak,35852,2011,2015
Kake,17640,2011,2015
Kaktovik,21601,2011,2015
Kalifornsky,30390,2011,2015
Kaltag,16096,2011,2015
Karluk,6434,2011,2015
Kasaan,22323,2011,2015
Kasigluk,8230,2011,2015
Kasilof,22082,2011,2015
Kenai,34627,2011,2015
Kenny Lake,11080,2011,2015
Ketchikan,28041,2011,2015
Kiana,17230,2011,2015
King Cove,29638,2011,2015
King Salmon,34743,2011,2015
Kipnuk,9973,2011,2015
Kivalina,14729,2011,2015
Klawock,21496,2011,2015
Klukwan,27018,2011,2015
Knik River,30474,2011,2015
Knik-Fairview,31598,2011,2015
Kobuk,12015,2011,2015
Kodiak Station,21213,2011,2015
Kodiak,28624,2011,2015
Kokhanok,15222,2011,2015
Koliganek,15347,2011,2015
Kongiganak,9108,2011,2015
Kotlik,11848,2011,2015
Kotzebue,28674,2011,2015
Koyuk,10415,2011,2015
Koyukuk,12785,2011,2015
Kupreanof,21568,2011,2015
Kwethluk,11337,2011,2015
Kwigillingok,11389,2011,2015
Lake Louise,20458,2011,2015
Lake Minchumina,30329,2011,2015
Lakes,35236,2011,2015
Larsen Bay,31611,2011,2015
Lazy Mountain,31413,2011,2015
Levelock,12742,2011,2015
Lime Village,7914,2011,2015
Livengood,,2011,2015
Loring,,2011,2015
Lowell Point,47008,2011,2015
Lower Kalskag,11557,2011,2015
Lutak,,2011,2015
Manley Hot Springs,33179,2011,2015
Manokotak,19604,2011,2015
Marshall,13214,2011,2015
McCarthy,17493,2011,2015
McGrath,28421,2011,2015
Denali Park,32380,2011,2015
Meadow Lakes,28911,2011,2015
Mekoryuk,16821,2011,2015
Mendeltna,,2011,2015
Mentasta Lake,9217,2011,2015
Mertarvik,,2011,2015
