source: https://gis.data.alaska.gov/datasets/fa3ad93528b24f7c9ba298a68c04920d_0/explore,,,
Place,e_Pop_Total,Start_Year,End_Year
Fishhook,4788,2009,2013
Flat,0,2009,2013
Fort Greely,911,2009,2013
Fort Yukon,516,2009,2013
Four Mile Road,30,2009,2013
Fox,644,2009,2013
Fox River,678,2009,2013
Fritz Creek,1723,2009,2013
Funny River,867,2009,2013
Gakona,197,2009,2013
Galena,566,2009,2013
Gambell,757,2009,2013
Game Creek,31,2009,2013
Gateway,5173,2009,2013
Glacier View,280,2009,2013
Glennallen,432,2009,2013
Goldstream,3591,2009,2013
Golovin,124,2009,2013
Goodnews Bay,331,2009,2013
Grayling,171,2009,2013
Gulkana,118,2009,2013
Gustavus,538,2009,2013
Haines,1942,2009,2013
Halibut Cove,21,2009,2013
Happy Valley,582,2009,2013
Harding-Birch Lakes,204,2009,2013
Healy,1097,2009,2013
Healy Lake,0,2009,2013
Hobart Bay,0,2009,2013
Hollis,124,2009,2013
Holy Cross,221,2009,2013
Homer,5150,2009,2013
Hoonah,722,2009,2013
Hooper Bay,1222,2009,2013
Hope,69,2009,2013
Houston,1875,2009,2013
Hughes,61,2009,2013
Huslia,327,2009,2013
Hydaburg,364,2009,2013
Hyder,81,2009,2013
Igiugig,31,2009,2013
Iliamna,90,2009,2013
Ivanof Bay,0,2009,2013
Juneau,31897,2009,2013
Kachemak,704,2009,2013
Kake,487,2009,2013
Kaktovik,208,2009,2013
Kalifornsky,8399,2009,2013
Kaltag,196,2009,2013
Karluk,17,2009,2013
Kasaan,50,2009,2013
Kasigluk,532,2009,2013
Kasilof,508,2009,2013
Kenai,7251,2009,2013
Kenny Lake,161,2009,2013
Ketchikan,8130,2009,2013
Kiana,391,2009,2013
King Cove,831,2009,2013
King Salmon,276,2009,2013
Kipnuk,644,2009,2013
Kivalina,448,2009,2013
Klawock,611,2009,2013
Klukwan,110,2009,2013
Knik River,711,2009,2013
Knik-Fairview,15229,2009,2013
Kobuk,130,2009,2013
Kodiak Station,1569,2009,2013
Kodiak,6269,2009,2013
Kokhanok,98,2009,2013
Koliganek,217,2009,2013
Kongiganak,370,2009,2013
Kotlik,572,2009,2013
Kotzebue,3250,2009,2013
Koyuk,279,2009,2013
Koyukuk,104,2009,2013
Kupreanof,36,2009,2013
Kwethluk,702,2009,2013
Kwigillingok,317,2009,2013
Lake Louise,33,2009,2013
Lake Minchumina,16,2009,2013
Lakes,9027,2009,2013
Larsen Bay,74,2009,2013
Lazy Mountain,1516,2009,2013
Levelock,123,2009,2013
Lime Village,21,2009,2013
Livengood,29,2009,2013
Loring,0,2009,2013
Lowell Point,64,2009,2013
Lower Kalskag,302,2009,2013
Lutak,16,2009,2013
Manley Hot Springs,79,2009,2013
Manokotak,588,2009,2013
Marshall,344,2009,2013
McCarthy,101,2009,2013
McGrath,380,2009,2013
Denali Park,422,2009,2013
Meadow Lakes,6475,2009,2013
Mekoryuk,190,2009,2013
Mendeltna,14,2009,2013
Mentasta Lake,191,2009,2013
Mertarvik,0,2009,2013
Metlakatla,1567,2009,2013
Minto,217,2009,2013
Moose Creek,648,2009,2013
Moose Pass,464,2009,2013
Mosquito Lake,131,2009,2013
Mountain Village,760,2009,2013
Mud Bay,122,2009,2013
Nabesna,0,2009,2013
Naknek,600,2009,2013
Nanwalek,253,2009,2013
Napakiak,364,2009,2013
Napaskiak,402,2009,2013
Naukati Bay,50,2009,2013
Nelchina,85,2009,2013
Nelson Lagoon,46,2009,2013
Nenana,446,2009,2013
New Allakaket,70,2009,2013
New Stuyahok,563,2009,2013
Newhalen,188,2009,2013
Newtok,409,2009,2013
Nightmute,331,2009,2013
Nikiski,4667,2009,2013
Nikolaevsk,175,2009,2013
Nikolai,66,2009,2013
Nikolski,39,2009,2013
Ninilchik,694,2009,2013
Noatak,442,2009,2013
Nome,3673,2009,2013
Nondalton,192,2009,2013
Noorvik,692,2009,2013
North Pole,2224,2009,2013
Northway,116,2009,2013
Northway Junction,49,2009,2013
Northway Village,70,2009,2013
Nuiqsut,405,2009,2013
Nulato,278,2009,2013
Nunam Iqua,135,2009,2013
Nunapitchuk,420,2009,2013
Old Harbor,229,2009,2013
Oscarville,83,2009,2013
Ouzinkie,300,2009,2013
Palmer,6186,2009,2013
Paxson,32,2009,2013
Pedro Bay,26,2009,2013
Pelican,60,2009,2013
Perryville,123,2009,2013
Petersburg,2987,2009,2013
Petersville,0,2009,2013
Pilot Point,43,2009,2013
Pilot Station,521,2009,2013
Pitkas Point,157,2009,2013
Platinum,62,2009,2013
Pleasant Valley,292,2009,2013
Point Baker,50,2009,2013
Point Hope,718,2009,2013
Point Lay,274,2009,2013
Point MacKenzie,406,2009,2013
Point Possession,0,2009,2013
Pope-Vannoy Landing,0,2009,2013
Port Alexander,42,2009,2013
Port Alsworth,138,2009,2013
Port Clarence,42,2009,2013
Port Graham,129,2009,2013
Port Heiden,69,2009,2013
Port Lions,238,2009,2013
Port Protection,41,2009,2013
Portage Creek,0,2009,2013
Primrose,54,2009,2013
Prudhoe Bay,2115,2009,2013
Quinhagak,596,2009,2013
Rampart,20,2009,2013
Red Devil,32,2009,2013
Red Dog Mine,238,2009,2013
Ridgeway,2206,2009,2013
Ruby,209,2009,2013
Russian Mission,360,2009,2013
Salamatof,955,2009,2013
Salcha,851,2009,2013
Sand Point,1238,2009,2013
Savoonga,828,2009,2013
Saxman,439,2009,2013
Scammon Bay,484,2009,2013
Selawik,693,2009,2013
Seldovia Village,159,2009,2013
Seldovia,280,2009,2013
Seward,2722,2009,2013
Shageluk,74,2009,2013
Shaktoolik,209,2009,2013
Shishmaref,623,2009,2013
Shungnak,361,2009,2013
Silver Springs,148,2009,2013
Sitka,8945,2009,2013
Skagway,1031,2009,2013
Skwentna,25,2009,2013
Slana,186,2009,2013
Sleetmute,87,2009,2013
Soldotna,4270,2009,2013
South Naknek,57,2009,2013
South Van Horn,623,2009,2013
Saint George,62,2009,2013
Saint Mary's,521,2009,2013
Saint Michael,385,2009,2013
Saint Paul,675,2009,2013
Stebbins,591,2009,2013
Steele Creek,6290,2009,2013
Sterling,5231,2009,2013
Stevens Village,66,2009,2013
Stony River,53,2009,2013
Sunrise,16,2009,2013
Susitna,11,2009,2013
Susitna North,1491,2009,2013
Sutton-Alpine,1249,2009,2013
Takotna,48,2009,2013
Talkeetna,540,2009,2013
Tanacross,141,2009,2013
Tanaina,9405,2009,2013
Tanana,261,2009,2013
Tatitlek,62,2009,2013
Tazlina,301,2009,2013
Teller,225,2009,2013
Tenakee Springs,106,2009,2013
Tetlin,128,2009,2013
Thorne Bay,478,2009,2013
Togiak,855,2009,2013
Tok,1438,2009,2013
Toksook Bay,671,2009,2013
Tolsona,0,2009,2013
Tonsina,65,2009,2013
Trapper Creek,500,2009,2013
Tuluksak,418,2009,2013
Tuntutuliak,376,2009,2013
Tununak,277,2009,2013
Twin Hills,86,2009,2013
Two Rivers,352,2009,2013
Tyonek,244,2009,2013
Ugashik,30,2009,2013
Unalakleet,695,2009,2013
Unalaska,4362,2009,2013
Upper Kalskag,231,2009,2013
Valdez,3995,2009,2013
Venetie,163,2009,2013
Wainwright,540,2009,2013
Wales,118,2009,2013
Wasilla,8161,2009,2013
Whale Pass,38,2009,2013
White Mountain,166,2009,2013
Whitestone,248,2009,2013
Whitestone Logging Camp,53,2009,2013
Whittier,244,2009,2013
Willow,1846,2009,2013
Willow Creek,52,2009,2013
Wiseman,0,2009,2013
Womens Bay,804,2009,2013
Wrangell,2371,2009,2013
Yakutat,569,2009,2013
Alaska,728300,2010,2014
Aleutians East Borough,3296,2010,2014
Aleutians West Census Area,5650,2010,2014
Anchorage,298178,2010,2014
Bethel Census Area,17576,2010,2014
Bristol Bay Borough,995,2010,2014
Denali Borough,2048,2010,2014
Dillingham Census Area,4956,2010,2014
Fairbanks North Star Borough,99319,2010,2014
Haines Borough,2557,2010,2014
Hoonah-Angoon Census Area,2126,2010,2014
Juneau,32200,2010,2014
Kenai Peninsula Borough,56687,2010,2014
Ketchikan Gateway Borough,13676,2010,2014
Kodiak Island Borough,13924,2010,2014
Lake and Peninsula Borough,1490,2010,2014
Matanuska-Susitna Borough,93843,2010,2014
Nome Census Area,9792,2010,2014
North Slope Borough,9618,2010,2014
Northwest Arctic Borough,7672,2010,2014
Petersburg Borough,3212,2010,2014
Prince of Wales-Hyder Census Area,6356,2010,2014
Sitka,8957,2010,2014
Skagway,996,2010,2014
Southeast Fairbanks Census Area,7044,2010,2014
Valdez-Cordova Census Area,9685,2010,2014
Kusilvak Census Area,7778,2010,2014
Wrangell,2383,2010,2014
Yakutat,635,2010,2014
Yukon-Koyukuk Census Area,5651,2010,2014
Adak,114,2010,2014
Akhiok,103,2010,2014
Akiachak,590,2010,2014
Akiak,407,2010,2014
Akutan,879,2010,2014
Alakanuk,733,2010,2014
Alatna,2,2010,2014
Alcan Border,0,2010,2014
Aleknagik,231,2010,2014
Aleneva,63,2010,2014
Allakaket,72,2010,2014
Ambler,329,2010,2014
Anaktuvuk Pass,233,2010,2014
Anchor Point,2189,2010,2014
Anchorage,298178,2010,2014
Anderson,257,2010,2014
Angoon,416,2010,2014
Aniak,519,2010,2014
Anvik,86,2010,2014
Arctic Village,118,2010,2014
Atka,66,2010,2014
Atmautluak,288,2010,2014
Atqasuk,219,2010,2014
Attu Station,11,2010,2014
Badger,21175,2010,2014
Utqiagvik,4296,2010,2014
Bear Creek,2399,2010,2014
Beaver,86,2010,2014
Beluga,5,2010,2014
Bethel,6295,2010,2014
Bettles,11,2010,2014
Big Delta,590,2010,2014
Big Lake,3959,2010,2014
Birch Creek,11,2010,2014
Brevig Mission,439,2010,2014
Buckland,582,2010,2014
Buffalo Soapstone,878,2010,2014
Butte,3544,2010,2014
Cantwell,197,2010,2014
Central,91,2010,2014
Chalkyitsik,85,2010,2014
Chase,22,2010,2014
Chefornak,474,2010,2014
Chena Ridge,5671,2010,2014
Chenega,72,2010,2014
Chevak,986,2010,2014
Chickaloon,234,2010,2014
Chicken,0,2010,2014
Chignik Lagoon,60,2010,2014
Chignik Lake,58,2010,2014
Chignik,86,2010,2014
Chiniak,14,2010,2014
Chisana,0,2010,2014
Chistochina,105,2010,2014
Chitina,78,2010,2014
Chuathbaluk,104,2010,2014
Circle,103,2010,2014
Clam Gulch,163,2010,2014
Clark's Point,75,2010,2014
Coffman Cove,131,2010,2014
Cohoe,1485,2010,2014
Cold Bay,44,2010,2014
Coldfoot,11,2010,2014
College,14568,2010,2014
Cooper Landing,323,2010,2014
Copper Center,378,2010,2014
Cordova,2637,2010,2014
Covenant Life,151,2010,2014
Craig,1295,2010,2014
Crooked Creek,104,2010,2014
Crown Point,84,2010,2014
Deering,128,2010,2014
Delta Junction,1070,2010,2014
Deltana,2122,2010,2014
Diamond Ridge,1144,2010,2014
Dillingham,2255,2010,2014
Diomede,65,2010,2014
Dot Lake,0,2010,2014
Dot Lake Village,38,2010,2014
Dry Creek,88,2010,2014
Eagle Village,11,2010,2014
Eagle,74,2010,2014
Edna Bay,21,2010,2014
Eek,425,2010,2014
Egegik,74,2010,2014
Eielson AFB,2647,2010,2014
Ekwok,100,2010,2014
Elfin Cove,42,2010,2014
Elim,319,2010,2014
Emmonak,819,2010,2014
Ester,2653,2010,2014
Eureka Roadhouse,0,2010,2014
Evansville,21,2010,2014
Excursion Inlet,36,2010,2014
Fairbanks,32100,2010,2014
False Pass,31,2010,2014
Farm Loop,1018,2010,2014
Farmers Loop,4062,2010,2014
Ferry,7,2010,2014
Fishhook,5015,2010,2014
Flat,0,2010,2014
Fort Greely,560,2010,2014
Fort Yukon,514,2010,2014
Four Mile Road,29,2010,2014
Fox,510,2010,2014
Fox River,685,2010,2014
Fritz Creek,1774,2010,2014
Funny River,935,2010,2014
Gakona,163,2010,2014
Galena,539,2010,2014
Gambell,702,2010,2014
Game Creek,38,2010,2014
Gateway,5367,2010,2014
Glacier View,278,2010,2014
Glennallen,389,2010,2014
Goldstream,3910,2010,2014
Golovin,122,2010,2014
Goodnews Bay,237,2010,2014
Grayling,151,2010,2014
Gulkana,104,2010,2014
Gustavus,529,2010,2014
Haines,1951,2010,2014
Halibut Cove,21,2010,2014
Happy Valley,585,2010,2014
Harding-Birch Lakes,155,2010,2014
Healy,1146,2010,2014
Healy Lake,0,2010,2014
Hobart Bay,0,2010,2014
Hollis,129,2010,2014
Holy Cross,209,2010,2014
Homer,5229,2010,2014
Hoonah,772,2010,2014
Hooper Bay,1259,2010,2014
Hope,57,2010,2014
Houston,2058,2010,2014
Hughes,63,2010,2014
Huslia,379,2010,2014
Hydaburg,356,2010,2014
Hyder,12,2010,2014
Igiugig,37,2010,2014
Iliamna,71,2010,2014
Ivanof Bay,0,2010,2014
Juneau,32200,2010,2014
Kachemak,594,2010,2014
Kake,592,2010,2014
Kaktovik,176,2010,2014
Kalifornsky,7806,2010,2014
Kaltag,200,2010,2014
Karluk,30,2010,2014
Kasaan,67,2010,2014
Kasigluk,537,2010,2014
Kasilof,396,2010,2014
Kenai,7348,2010,2014
Kenny Lake,131,2010,2014
Ketchikan,8173,2010,2014
Kiana,371,2010,2014
King Cove,900,2010,2014
King Salmon,335,2010,2014
Kipnuk,700,2010,2014
Kivalina,532,2010,2014
Klawock,697,2010,2014
Klukwan,66,2010,2014
Knik River,690,2010,2014
Knik-Fairview,15797,2010,2014
Kobuk,159,2010,2014
Kodiak Station,1397,2010,2014
Kodiak,6280,2010,2014
Kokhanok,123,2010,2014
Koliganek,164,2010,2014
Kongiganak,368,2010,2014
Kotlik,636,2010,2014
Kotzebue,3273,2010,2014
Koyuk,265,2010,2014
Koyukuk,89,2010,2014
Kupreanof,48,2010,2014
Kwethluk,763,2010,2014
Kwigillingok,325,2010,2014
Lake Louise,42,2010,2014
Lake Minchumina,19,2010,2014
Lakes,9345,2010,2014
Larsen Bay,52,2010,2014
Lazy Mountain,1629,2010,2014
Levelock,131,2010,2014
Lime Village,22,2010,2014
Livengood,10,2010,2014
Loring,0,2010,2014
Lowell Point,66,2010,2014
Lower Kalskag,340,2010,2014
Lutak,12,2010,2014
Manley Hot Springs,80,2010,2014
Manokotak,673,2010,2014
Marshall,320,2010,2014
McCarthy,133,2010,2014
McGrath,344,2010,2014
Denali Park,429,2010,2014
Meadow Lakes,7139,2010,2014
Mekoryuk,177,2010,2014
Mendeltna,25,2010,2014
Mentasta Lake,231,2010,2014
Mertarvik,0,2010,2014
Metlakatla,1568,2010,2014
Minto,252,2010,2014
Moose Creek,728,2010,2014
Moose Pass,464,2010,2014
Mosquito Lake,119,2010,2014
Mountain Village,781,2010,2014
Mud Bay,131,2010,2014
Nabesna,0,2010,2014
Naknek,600,2010,2014
Nanwalek,212,2010,2014
Napakiak,365,2010,2014
Napaskiak,430,2010,2014
Naukati Bay,35,2010,2014
Nelchina,124,2010,2014
Nelson Lagoon,39,2010,2014
Nenana,438,2010,2014
New Allakaket,71,2010,2014
New Stuyahok,574,2010,2014
Newhalen,175,2010,2014
Newtok,384,2010,2014
Nightmute,281,2010,2014
Nikiski,4536,2010,2014
Nikolaevsk,196,2010,2014
Nikolai,75,2010,2014
Nikolski,34,2010,2014
Ninilchik,730,2010,2014
Noatak,452,2010,2014
Nome,3745,2010,2014
Nondalton,214,2010,2014
Noorvik,598,2010,2014
North Pole,2153,2010,2014
Northway,139,2010,2014
Northway Junction,62,2010,2014
Northway Village,97,2010,2014
Nuiqsut,371,2010,2014
Nulato,272,2010,2014
Nunam Iqua,132,2010,2014
Nunapitchuk,459,2010,2014
Old Harbor,268,2010,2014
Oscarville,29,2010,2014
Ouzinkie,275,2010,2014
Palmer,6250,2010,2014
Paxson,34,2010,2014
Pedro Bay,22,2010,2014
Pelican,57,2010,2014
Perryville,116,2010,2014
Petersburg,2926,2010,2014
Petersville,0,2010,2014
Pilot Point,47,2010,2014
Pilot Station,567,2010,2014
Pitkas Point,136,2010,2014
Platinum,42,2010,2014
Pleasant Valley,280,2010,2014
Point Baker,48,2010,2014
Point Hope,628,2010,2014
Point Lay,246,2010,2014
Point MacKenzie,473,2010,2014
Point Possession,0,2010,2014
Pope-Vannoy Landing,0,2010,2014
Port Alexander,30,2010,2014
Port Alsworth,147,2010,2014
Port Clarence,43,2010,2014
Port Graham,166,2010,2014
Port Heiden,84,2010,2014
Port Lions,230,2010,2014
Port Protection,83,2010,2014
Portage Creek,0,2010,2014
Primrose,51,2010,2014
Prudhoe Bay,2570,2010,2014
Quinhagak,616,2010,2014
Rampart,15,2010,2014
Red Devil,32,2010,2014
Red Dog Mine,139,2010,2014
Ridgeway,2128,2010,2014
Ruby,208,2010,2014
Russian Mission,404,2010,2014
Salamatof,1049,2010,2014
Salcha,957,2010,2014
Sand Point,1371,2010,2014
Savoonga,872,2010,2014
Saxman,470,2010,2014
Scammon Bay,447,2010,2014
Selawik,754,2010,2014
Seldovia Village,180,2010,2014
Seldovia,264,2010,2014
Seward,2646,2010,2014
Shageluk,58,2010,2014
Shaktoolik,212,2010,2014
Shishmaref,629,2010,2014
Shungnak,308,2010,2014
Silver Springs,170,2010,2014
Sitka,8957,2010,2014
Skagway,932,2010,2014
Skwentna,47,2010,2014
Slana,139,2010,2014
Sleetmute,100,2010,2014
Soldotna,4345,2010,2014
South Naknek,60,2010,2014
South Van Horn,547,2010,2014
Saint George,33,2010,2014
Saint Mary's,551,2010,2014
Saint Michael,406,2010,2014
Saint Paul,612,2010,2014
Stebbins,538,2010,2014
Steele Creek,6180,2010,2014
Sterling,5748,2010,2014
Stevens Village,69,2010,2014
Stony River,61,2010,2014
Sunrise,15,2010,2014
Susitna,0,2010,2014
Susitna North,1420,2010,2014
Sutton-Alpine,1390,2010,2014
Takotna,56,2010,2014
Talkeetna,508,2010,2014
Tanacross,176,2010,2014
Tanaina,9391,2010,2014
Tanana,248,2010,2014
Tatitlek,69,2010,2014
Tazlina,323,2010,2014
Teller,184,2010,2014
Tenakee Springs,117,2010,2014
Tetlin,123,2010,2014
Thorne Bay,536,2010,2014
Togiak,765,2010,2014
Tok,1304,2010,2014
Toksook Bay,650,2010,2014
Tolsona,0,2010,2014
Tonsina,16,2010,2014
Trapper Creek,448,2010,2014
Tuluksak,421,2010,2014
Tuntutuliak,437,2010,2014
Tununak,297,2010,2014
Twin Hills,93,2010,2014
Two Rivers,441,2010,2014
Tyonek,226,2010,2014
Ugashik,19,2010,2014
Unalakleet,708,2010,2014
Unalaska,4536,2010,2014
Upper Kalskag,257,2010,2014
Valdez,4002,2010,2014
Venetie,171,2010,2014
Wainwright,482,2010,2014
Wales,165,2010,2014
Wasilla,8406,2010,2014
Whale Pass,39,2010,2014
White Mountain,148,2010,2014
Whitestone,244,2010,2014
Whitestone Logging Camp,46,2010,2014
Whittier,246,2010,2014
Willow,1944,2010,2014
Willow Creek,46,2010,2014
Wiseman,13,2010,2014
Womens Bay,854,2010,2014
Wrangell,2383,2010,2014
Yakutat,587,2010,2014
Alaska,733375,2011,2015
Aleutians East Borough,3304,2011,2015
Aleutians West Census Area,5684,2011,2015
Anchorage,299107,2011,2015
Bethel Census Area,17776,2011,2015
Bristol Bay Borough,970,2011,2015
Denali Borough,2060,2011,2015
Dillingham Census Area,4979,2011,2015
Fairbanks North Star Borough,99705,2011,2015
Haines Borough,2560,2011,2015
Hoonah-Angoon Census Area,2128,2011,2015
Juneau,32531,2011,2015
Kenai Peninsula Borough,57221,2011,2015
Ketchikan Gateway Borough,13699,2011,2015
Kodiak Island Borough,13973,2011,2015
Kusilvak Census Area,7914,2011,2015
Lake and Peninsula Borough,1474,2011,2015
Matanuska-Susitna Borough,96178,2011,2015
Nome Census Area,9854,2011,2015
North Slope Borough,9667,2011,2015
Northwest Arctic Borough,7732,2011,2015
Petersburg Borough,3221,2011,2015
Prince of Wales-Hyder Census Area,6376,2011,2015
Sitka,8943,2011,2015
Skagway,999,2011,2015
Southeast Fairbanks Census Area,7029,2011,2015
Valdez-Cordova Census Area,9617,2011,2015
Wrangell,2387,2011,2015
Yakutat,643,2011,2015
Yukon-Koyukuk Census Area,5644,2011,2015
Adak,122,2011,2015
Akhiok,84,2011,2015
Akiachak,562,2011,2015
Akiak,399,2011,2015
Akutan,899,2011,2015
Alakanuk,777,2011,2015
Alatna,1,2011,2015
Alcan Border,51,2011,2015
Aleknagik,199,2011,2015
Aleneva,59,2011,2015
Allakaket,77,2011,2015
Ambler,280,2011,2015
Anaktuvuk Pass,247,2011,2015
Anchor Point,1951,2011,2015
Anchorage,299107,2011,2015
Anderson,201,2011,2015
Angoon,382,2011,2015
Aniak,525,2011,2015
Anvik,87,2011,2015
Arctic Village,138,2011,2015
Atka,66,2011,2015
Atmautluak,258,2011,2015
Atqasuk,159,2011,2015
Attu Station,16,2011,2015
Badger,21197,2011,2015
Utqiagvik,4293,2011,2015
Bear Creek,1824,2011,2015
Beaver,60,2011,2015
Beluga,6,2011,2015
Bethel,6370,2011,2015
Bettles,22,2011,2015
Big Delta,539,2011,2015
Big Lake,3815,2011,2015
Birch Creek,1,2011,2015
Brevig Mission,442,2011,2015
Buckland,596,2011,2015
Buffalo Soapstone,827,2011,2015
Butte,3854,2011,2015
Cantwell,209,2011,2015
Central,58,2011,2015
Chalkyitsik,101,2011,2015
Chase,23,2011,2015
Chefornak,516,2011,2015
Chena Ridge,5473,2011,2015
Chenega,66,2011,2015
Chevak,1082,2011,2015
Chickaloon,284,2011,2015
Chicken,0,2011,2015
Chignik Lagoon,73,2011,2015
Chignik Lake,70,2011,2015
Chignik,70,2011,2015
Chiniak,23,2011,2015
Chisana,0,2011,2015
Chistochina,59,2011,2015
Chitina,80,2011,2015
Chuathbaluk,116,2011,2015
Circle,118,2011,2015
Clam Gulch,182,2011,2015
Clark's Point,56,2011,2015
Coffman Cove,150,2011,2015
Cohoe,1577,2011,2015
Cold Bay,46,2011,2015
Coldfoot,10,2011,2015
College,14675,2011,2015
Cooper Landing,457,2011,2015
Copper Center,405,2011,2015
Cordova,2621,2011,2015
Covenant Life,105,2011,2015
Craig,1231,2011,2015
Crooked Creek,98,2011,2015
Crown Point,132,2011,2015
Deering,144,2011,2015
Delta Junction,1045,2011,2015
Deltana,2311,2011,2015
Diamond Ridge,1140,2011,2015
Dillingham,2307,2011,2015
Diomede,43,2011,2015
Dot Lake,0,2011,2015
Dot Lake Village,54,2011,2015
Dry Creek,84,2011,2015
Eagle Village,17,2011,2015
Eagle,89,2011,2015
Edna Bay,0,2011,2015
Eek,455,2011,2015
Egegik,68,2011,2015
Eielson AFB,2630,2011,2015
Ekwok,78,2011,2015
Elfin Cove,24,2011,2015
Elim,328,2011,2015
Emmonak,835,2011,2015
Ester,3008,2011,2015
Eureka Roadhouse,0,2011,2015
Evansville,16,2011,2015
Excursion Inlet,40,2011,2015
Fairbanks,32193,2011,2015
False Pass,37,2011,2015
Farm Loop,1081,2011,2015
Farmers Loop,4149,2011,2015
Ferry,6,2011,2015
Fishhook,5323,2011,2015
Flat,0,2011,2015
Fort Greely,391,2011,2015
Fort Yukon,555,2011,2015
Four Mile Road,10,2011,2015
Fox,558,2011,2015
Fox River,649,2011,2015
Fritz Creek,1910,2011,2015
Funny River,776,2011,2015
Gakona,205,2011,2015
Galena,554,2011,2015
Gambell,718,2011,2015
Game Creek,36,2011,2015
Gateway,5610,2011,2015
Glacier View,249,2011,2015
Glennallen,366,2011,2015
Goldstream,3862,2011,2015
Golovin,132,2011,2015
Goodnews Bay,230,2011,2015
Grayling,171,2011,2015
Gulkana,115,2011,2015
Gustavus,496,2011,2015
Haines,1955,2011,2015
Halibut Cove,23,2011,2015
Happy Valley,607,2011,2015
Harding-Birch Lakes,142,2011,2015
Healy,1120,2011,2015
Healy Lake,0,2011,2015
Hobart Bay,0,2011,2015
Hollis,124,2011,2015
Holy Cross,214,2011,2015
Homer,5324,2011,2015
Hoonah,821,2011,2015
Hooper Bay,1140,2011,2015
Hope,50,2011,2015
Houston,1977,2011,2015
Hughes,62,2011,2015
Huslia,420,2011,2015
Hydaburg,277,2011,2015
Hyder,13,2011,2015
Igiugig,49,2011,2015
Iliamna,78,2011,2015
Ivanof Bay,0,2011,2015
Juneau,32531,2011,2015
Kachemak,551,2011,2015
Kake,628,2011,2015
Kaktovik,155,2011,2015
Kalifornsky,7965,2011,2015
Kaltag,192,2011,2015
Karluk,44,2011,2015
Kasaan,71,2011,2015
Kasigluk,599,2011,2015
Kasilof,388,2011,2015
Kenai,7463,2011,2015
Kenny Lake,128,2011,2015
Ketchikan,8197,2011,2015
Kiana,380,2011,2015
King Cove,1074,2011,2015
King Salmon,340,2011,2015
Kipnuk,686,2011,2015
Kivalina,576,2011,2015
Klawock,792,2011,2015
Klukwan,66,2011,2015
Knik River,765,2011,2015
Knik-Fairview,16017,2011,2015
Kobuk,159,2011,2015
Kodiak Station,1398,2011,2015
Kodiak,6293,2011,2015
Kokhanok,145,2011,2015
Koliganek,129,2011,2015
Kongiganak,408,2011,2015
Kotlik,643,2011,2015
Kotzebue,3283,2011,2015
Koyuk,272,2011,2015
Koyukuk,80,2011,2015
Kupreanof,40,2011,2015
Kwethluk,824,2011,2015
Kwigillingok,331,2011,2015
Lake Louise,45,2011,2015
Lake Minchumina,21,2011,2015
Lakes,9028,2011,2015
Larsen Bay,61,2011,2015
Lazy Mountain,1637,2011,2015
Levelock,114,2011,2015
Lime Village,7,2011,2015
Livengood,10,2011,2015
Loring,0,2011,2015
Lowell Point,141,2011,2015
Lower Kalskag,317,2011,2015
Lutak,13,2011,2015
Manley Hot Springs,84,2011,2015
Manokotak,691,2011,2015
Marshall,350,2011,2015
McCarthy,107,2011,2015
McGrath,346,2011,2015
Denali Park,514,2011,2015
Meadow Lakes,7424,2011,2015
Mekoryuk,174,2011,2015
Mendeltna,22,2011,2015
Mentasta Lake,157,2011,2015
Mertarvik,0,2011,2015
Metlakatla,1661,2011,2015
Minto,257,2011,2015
Moose Creek,728,2011,2015
Moose Pass,428,2011,2015
Mosquito Lake,126,2011,2015
Mountain Village,749,2011,2015
Mud Bay,167,2011,2015
Nabesna,0,2011,2015
Naknek,567,2011,2015
Nanwalek,238,2011,2015
Napakiak,352,2011,2015
Napaskiak,408,2011,2015
Naukati Bay,32,2011,2015
Nelchina,170,2011,2015
Nelson Lagoon,42,2011,2015
Nenana,406,2011,2015
New Allakaket,67,2011,2015
New Stuyahok,609,2011,2015
Newhalen,159,2011,2015
Newtok,388,2011,2015
Nightmute,259,2011,2015
Nikiski,4549,2011,2015
Nikolaevsk,234,2011,2015
Nikolai,113,2011,2015
Nikolski,37,2011,2015
Ninilchik,728,2011,2015
Noatak,443,2011,2015
Nome,3773,2011,2015
Nondalton,182,2011,2015
Noorvik,608,2011,2015
North Pole,2265,2011,2015
Northway,131,2011,2015
Northway Junction,64,2011,2015
Northway Village,92,2011,2015
Nuiqsut,345,2011,2015
Nulato,285,2011,2015
Nunam Iqua,129,2011,2015
Nunapitchuk,554,2011,2015
Old Harbor,249,2011,2015
Oscarville,22,2011,2015
Ouzinkie,230,2011,2015
Palmer,6449,2011,2015
Paxson,38,2011,2015
Pedro Bay,12,2011,2015
Pelican,79,2011,2015
Perryville,98,2011,2015
Petersburg,3024,2011,2015
Petersville,0,2011,2015
Pilot Point,53,2011,2015
Pilot Station,582,2011,2015
Pitkas Point,136,2011,2015
Platinum,42,2011,2015
Pleasant Valley,168,2011,2015
Point Baker,41,2011,2015
Point Hope,562,2011,2015
Point Lay,285,2011,2015
Point MacKenzie,466,2011,2015
Point Possession,0,2011,2015
Pope-Vannoy Landing,0,2011,2015
Port Alexander,31,2011,2015
Port Alsworth,147,2011,2015
Port Clarence,40,2011,2015
Port Graham,206,2011,2015
Port Heiden,81,2011,2015
Port Lions,231,2011,2015
Port Protection,82,2011,2015
Portage Creek,0,2011,2015
