scenario,region,service,year,price,group,shares,gdppc_gm,gdppc,afford,afford_unit,satiation.impedance,satiation.gap
R_01a_BAU,AZ,resid heating modern,2015,6.85072,d10,0.2597874,25.9484,67.4106737,4448.435801,GJ,330.150687,8.78891187996426e-05
R_01a_BAU,CA,resid heating modern,2015,7.27162,d1,0.03263457,39.5258,12.89907487,801.9407187,GJ,476.1418738,0.311165192
R_01a_BAU,CA,resid heating modern,2015,7.27162,d2,0.04877822,39.5258,19.27998168,1198.644284,GJ,476.1418738,0.174656236
R_01a_BAU,CA,resid heating modern,2015,7.27162,d3,0.05839467,39.5258,23.08096047,1434.952678,GJ,476.1418738,0.123817898
R_01a_BAU,CA,resid heating modern,2015,7.27162,d4,0.06686748,39.5258,26.42990641,1643.158006,GJ,476.1418738,0.091442963
R_01a_BAU,CA,resid heating modern,2015,7.27162,d5,0.07533221,39.5258,29.77565866,1851.164781,GJ,476.1418738,0.067552695
R_01a_BAU,CA,resid heating modern,2015,7.27162,d6,0.08480068,39.5258,33.51814718,2083.836811,GJ,476.1418738,0.048143873
R_01a_BAU,CA,resid heating modern,2015,7.27162,d7,0.09660197,39.5258,38.18270146,2373.834043,GJ,476.1418738,0.031564346
R_01a_BAU,CA,resid heating modern,2015,7.27162,d8,0.1130746,39.5258,44.69364025,2778.621749,GJ,476.1418738,0.017509706
R_01a_BAU,CA,resid heating modern,2015,7.27162,d9,0.1424662,39.5258,56.31090528,3500.87183,GJ,476.1418738,0.006118606
R_01a_BAU,CA,resid heating modern,2015,7.27162,d10,0.2823152,39.5258,111.5873413,6937.430289,GJ,476.1418738,4.1111721139403e-05
R_01a_BAU,CO,resid heating modern,2015,6.0306,d1,0.03464884,35.8407,12.4183868,930.9353819,GJ,510.3785886,0.282434949
R_01a_BAU,CO,resid heating modern,2015,6.0306,d2,0.05147315,35.8407,18.44833727,1382.966257,GJ,510.3785886,0.152863189
R_01a_BAU,CO,resid heating modern,2015,6.0306,d3,0.0612866,35.8407,21.96554645,1646.631298,GJ,510.3785886,0.106853507
R_01a_BAU,CO,resid heating modern,2015,6.0306,d4,0.06977928,35.8407,25.00938241,1874.810258,GJ,510.3785886,0.078379942
R_01a_BAU,CO,resid heating modern,2015,6.0306,d5,0.07813345,35.8407,28.00357541,2099.267771,GJ,510.3785886,0.057785126
R_01a_BAU,CO,resid heating modern,2015,6.0306,d6,0.08734523,35.8407,31.30514185,2346.76731,GJ,510.3785886,0.041289214
R_01a_BAU,CO,resid heating modern,2015,6.0306,d7,0.09863461,35.8407,35.35133467,2650.087227,GJ,510.3785886,0.02734849
R_01a_BAU,CO,resid heating modern,2015,6.0306,d8,0.1141216,35.8407,40.90198029,3066.187361,GJ,510.3785886,0.015542125
R_01a_BAU,CO,resid heating modern,2015,6.0306,d9,0.1412606,35.8407,50.62878786,3795.350454,GJ,510.3785886,0.005773479
R_01a_BAU,CO,resid heating modern,2015,6.0306,d10,0.2643891,35.8407,94.75890416,7103.532695,GJ,510.3785886,6.45974346728662e-05
R_01a_BAU,CT,resid heating modern,2015,9.41398,d1,0.03128031,42.7896,13.38471953,642.7630179,GJ,437.3305644,0.361046906
R_01a_BAU,CT,resid heating modern,2015,9.41398,d2,0.04718815,42.7896,20.19162063,969.6450484,GJ,437.3305644,0.215059801
R_01a_BAU,CT,resid heating modern,2015,9.41398,d3,0.05684975,42.7896,24.32578063,1168.176302,GJ,437.3305644,0.157001283
R_01a_BAU,CT,resid heating modern,2015,9.41398,d4,0.06546889,42.7896,28.01387616,1345.286582,GJ,437.3305644,0.118574683
R_01a_BAU,CT,resid heating modern,2015,9.41398,d5,0.0741631,42.7896,31.73409384,1523.939436,GJ,437.3305644,0.089334443
R_01a_BAU,CT,resid heating modern,2015,9.41398,d6,0.0839475,42.7896,35.92079946,1724.994044,GJ,437.3305644,0.064957003
R_01a_BAU,CT,resid heating modern,2015,9.41398,d7,0.09619608,42.7896,41.16191785,1976.683821,GJ,437.3305644,0.043589217
R_01a_BAU,CT,resid heating modern,2015,9.41398,d8,0.1133454,42.7896,48.50004328,2329.076386,GJ,437.3305644,0.024935316
R_01a_BAU,CT,resid heating modern,2015,9.41398,d9,0.1438403,42.7896,61.54868901,2955.700417,GJ,437.3305644,0.009236077
R_01a_BAU,CT,resid heating modern,2015,9.41398,d10,0.2889408,42.7896,123.6366126,5937.296037,GJ,437.3305644,8.18748459389916e-05
R_01a_BAU,DC,resid heating modern,2015,7.02067,d1,0.02700407,110.041,29.71554867,1913.463009,GJ,1358.301207,0.376646299
R_01a_BAU,DC,resid heating modern,2015,7.02067,d2,0.04165932,110.041,45.84233232,2951.90939,GJ,1358.301207,0.22171277
R_01a_BAU,DC,resid heating modern,2015,7.02067,d3,0.05105673,110.041,56.18333626,3617.794067,GJ,1358.301207,0.157839515
R_01a_BAU,DC,resid heating modern,2015,7.02067,d4,0.05977218,110.041,65.77390459,4235.356204,GJ,1358.301207,0.115172853
R_01a_BAU,DC,resid heating modern,2015,7.02067,d5,0.06883568,110.041,75.74747063,4877.58058,GJ,1358.301207,0.08298867
R_01a_BAU,DC,resid heating modern,2015,7.02067,d6,0.07928939,110.041,87.25083765,5618.312899,GJ,1358.301207,0.056866424
R_01a_BAU,DC,resid heating modern,2015,7.02067,d7,0.09271418,110.041,102.0236108,6569.570952,GJ,1358.301207,0.034997402
R_01a_BAU,DC,resid heating modern,2015,7.02067,d8,0.1119681,110.041,123.2108169,7933.87136,GJ,1358.301207,0.017445212
R_01a_BAU,DC,resid heating modern,2015,7.02067,d9,0.1468885,110.041,161.6375743,10408.27221,GJ,1358.301207,0.004935073
R_01a_BAU,DC,resid heating modern,2015,7.02067,d10,0.3222903,110.041,354.651469,22836.94892,GJ,1358.301207,8.68600745229027e-06
R_01a_BAU,DE,resid heating modern,2015,8.58298,d1,0.03622155,44.2627,16.03263601,844.4651077,GJ,463.2883714,0.282678988
R_01a_BAU,DE,resid heating modern,2015,8.58298,d2,0.05346081,44.2627,23.66319795,1246.37926,GJ,463.2883714,0.154932504
R_01a_BAU,DE,resid heating modern,2015,8.58298,d3,0.06333483,44.2627,28.0337058,1476.581042,GJ,463.2883714,0.109790502
R_01a_BAU,DE,resid heating modern,2015,8.58298,d4,0.07175918,44.2627,31.76255057,1672.985382,GJ,463.2883714,0.081836585
R_01a_BAU,DE,resid heating modern,2015,8.58298,d5,0.07994556,44.2627,35.38606339,1863.841717,GJ,463.2883714,0.061508501
R_01a_BAU,DE,resid heating modern,2015,8.58298,d6,0.08888164,44.2627,39.34141367,2072.176472,GJ,463.2883714,0.045036629
R_01a_BAU,DE,resid heating modern,2015,8.58298,d7,0.09971719,44.2627,44.13752066,2324.795256,GJ,463.2883714,0.030861871
R_01a_BAU,DE,resid heating modern,2015,8.58298,d8,0.1144272,44.2627,50.64856825,2667.74276,GJ,463.2883714,0.018475062
R_01a_BAU,DE,resid heating modern,2015,8.58298,d9,0.1400234,44.2627,61.97813747,3264.489663,GJ,463.2883714,0.007565521
R_01a_BAU,DE,resid heating modern,2015,8.58298,d10,0.2532422,44.2627,112.0918353,5904.059923,GJ,463.2883714,0.000145791
R_01a_BAU,FL,resid heating modern,2015,8.91901,d1,0.03383705,26.2293,8.875221356,449.8600426,GJ,259.1471504,0.300216443
R_01a_BAU,FL,resid heating modern,2015,8.91901,d2,0.05054328,26.2293,13.25714854,671.9676241,GJ,259.1471504,0.165741135
R_01a_BAU,FL,resid heating modern,2015,8.91901,d3,0.06040244,26.2293,15.84313719,803.0441257,GJ,259.1471504,0.116726506
R_01a_BAU,FL,resid heating modern,2015,8.91901,d4,0.0689996,26.2293,18.09811208,917.3424692,GJ,259.1471504,0.085980204
R_01a_BAU,FL,resid heating modern,2015,8.91901,d5,0.07750761,26.2293,20.32970355,1030.455573,GJ,259.1471504,0.063533716
R_01a_BAU,FL,resid heating modern,2015,8.91901,d6,0.08692381,26.2293,22.7995069,1155.642967,GJ,259.1471504,0.045455278
R_01a_BAU,FL,resid heating modern,2015,8.91901,d7,0.09849215,26.2293,25.8338015,1309.442838,GJ,259.1471504,0.030125039
R_01a_BAU,FL,resid heating modern,2015,8.91901,d8,0.1143862,26.2293,30.00269956,1520.752572,GJ,259.1471504,0.017118529
R_01a_BAU,FL,resid heating modern,2015,8.91901,d9,0.1421434,26.2293,37.28321882,1889.781644,GJ,259.1471504,0.006379632
R_01a_BAU,FL,resid heating modern,2015,8.91901,d10,0.2677911,26.2293,70.23973099,3560.254681,GJ,259.1471504,7.31718545800824e-05
R_01a_BAU,GA,resid heating modern,2015,7.31737,d1,0.03490446,29.872,10.42666029,644.1768093,GJ,356.476746,0.28577162
R_01a_BAU,GA,resid heating modern,2015,7.31737,d2,0.05171873,29.872,15.44941903,954.491388,GJ,356.476746,0.156304384
R_01a_BAU,GA,resid heating modern,2015,7.31737,d3,0.06148,29.872,18.3653056,1134.639821,GJ,356.476746,0.110114166
R_01a_BAU,GA,resid heating modern,2015,7.31737,d4,0.06990579,29.872,20.88225759,1290.141396,GJ,356.476746,0.081382025
R_01a_BAU,GA,resid heating modern,2015,7.31737,d5,0.0781785,29.872,23.35348152,1442.817814,GJ,356.476746,0.060478292
R_01a_BAU,GA,resid heating modern,2015,7.31737,d6,0.08729539,29.872,26.0768789,1611.073937,GJ,356.476746,0.043602774
R_01a_BAU,GA,resid heating modern,2015,7.31737,d7,0.098475,29.872,29.416452,1817.398444,GJ,356.476746,0.029193188
R_01a_BAU,GA,resid heating modern,2015,7.31737,d8,0.1138308,29.872,34.00353658,2100.796332,GJ,356.476746,0.016825332
R_01a_BAU,GA,resid heating modern,2015,7.31737,d9,0.1408627,29.872,42.07850574,2599.681664,GJ,356.476746,0.006377867
R_01a_BAU,GA,resid heating modern,2015,7.31737,d10,0.2644728,29.872,79.00331482,4880.95918,GJ,356.476746,7.55492404792136e-05
R_01a_BAU,HI,resid heating modern,2015,16.6789,d1,0.03593115,34.3793,12.35287785,334.8232592,GJ,206.9239594,0.325764642
R_01a_BAU,HI,resid heating modern,2015,16.6789,d2,0.05298679,34.3793,18.21648749,493.755689,GJ,206.9239594,0.19128959
R_01a_BAU,HI,resid heating modern,2015,16.6789,d3,0.06276396,34.3793,21.5778101,584.8639314,GJ,206.9239594,0.140977036
R_01a_BAU,HI,resid heating modern,2015,16.6789,d4,0.07112389,34.3793,24.45189551,662.7656687,GJ,206.9239594,0.108597056
R_01a_BAU,HI,resid heating modern,2015,16.6789,d5,0.07926642,34.3793,27.25124033,738.6415712,GJ,206.9239594,0.08422381
R_01a_BAU,HI,resid heating modern,2015,16.6789,d6,0.08818426,34.3793,30.3171313,821.7421748,GJ,206.9239594,0.063758974
R_01a_BAU,HI,resid heating modern,2015,16.6789,d7,0.09905387,34.3793,34.05402713,923.0302841,GJ,206.9239594,0.045413904
R_01a_BAU,HI,resid heating modern,2015,16.6789,d8,0.1139006,34.3793,39.15822898,1061.379057,GJ,206.9239594,0.02857071
R_01a_BAU,HI,resid heating modern,2015,16.6789,d9,0.13998,34.3793,48.12414414,1304.399103,GJ,206.9239594,0.012658405
R_01a_BAU,HI,resid heating modern,2015,16.6789,d10,0.2579182,34.3793,88.67047173,2403.402405,GJ,206.9239594,0.000318834
R_01a_BAU,IA,resid heating modern,2015,6.94954,d1,0.03820363,34.2114,13.06999667,850.2258313,GJ,435.8782221,0.258707886
R_01a_BAU,IA,resid heating modern,2015,6.94954,d2,0.05582299,34.2114,19.0978264,1242.346554,GJ,435.8782221,0.138675537
R_01a_BAU,IA,resid heating modern,2015,6.94954,d3,0.06565894,34.2114,22.4628426,1461.246663,GJ,435.8782221,0.097908673
R_01a_BAU,IA,resid heating modern,2015,6.94954,d4,0.07389431,34.2114,25.28027797,1644.525694,GJ,435.8782221,0.073154898
R_01a_BAU,IA,resid heating modern,2015,6.94954,d5,0.08176929,34.2114,27.97441888,1819.784208,GJ,435.8782221,0.055361119
R_01a_BAU,IA,resid heating modern,2015,6.94954,d6,0.09026558,34.2114,30.88111864,2008.870042,GJ,435.8782221,0.040984228
R_01a_BAU,IA,resid heating modern,2015,6.94954,d7,0.1004627,34.2114,34.36969615,2235.808027,GJ,435.8782221,0.028568463
R_01a_BAU,IA,resid heating modern,2015,6.94954,d8,0.1141846,34.2114,39.06415024,2541.190365,GJ,435.8782221,0.017578471
R_01a_BAU,IA,resid heating modern,2015,6.94954,d9,0.1381011,34.2114,47.24631973,3073.454605,GJ,435.8782221,0.007540222
R_01a_BAU,IA,resid heating modern,2015,6.94954,d10,0.2426894,34.2114,83.02744139,5401.078297,GJ,435.8782221,0.000186149
R_01a_BAU,ID,resid heating modern,2015,7.06709,d1,0.038249,24.2829,9.287966421,594.1483452,GJ,303.3352397,0.257256869
R_01a_BAU,ID,resid heating modern,2015,7.06709,d2,0.05589274,24.2829,13.57237816,868.2208418,GJ,303.3352397,0.137523634
