period,type,intercept,mkt_value_coef
pre_2006,linear,1324.7670604072948,0.14385255022512888
post_2006,linear,-3187.442874199166,0.4912050603081015
pre_2006,exponential,7.684998129351252,2.8138511574102132e-5
post_2006,exponential,6.440411964543098,1.0973292134801214e-4
